'an'hei 暗黑
'long'zi 龙子
'long'zi'zhi'lin 龙子之鳞
'lou'luo 喽罗
'lou'ying 漏影
'lu'he'shi 六合石
'lu'hua 露华
'lu'hua'yao'shi 露华腰饰
'lu'jiao'zhang 鹿角杖
'lu'pi 鹿皮
'lu'pi'wan'jia 鹿皮腕甲
'lu'pi'xia'kai 鹿皮下铠
'lu'pi'xie 鹿皮鞋
'lu'pi'zhan'kai 鹿皮战铠
'lu'su 露宿
'lu'wan 露丸
'lu'xing'long 陆行龙
'luan'feng'qi'ming 鸾凤齐鸣
'lue'hong 掠虹
'lue'hong'jie 掠虹戒
'lue'tian'yi'long 掠天翼龙
'lun'hui'pan 轮回盘
'luo'feng 落凤
'luo'feng'qiao 落风桥
'luo'hou'lun 罗喉轮
'luo'hun'zhen 落魂阵
'luo'lei 落雷
'luo'ri'gao'yuan 落日高原
'luo'ri'zhen 落日镇
'luo'shi 落石
'luo'shi'shu 落石术
'luo'ying'cun 落缨村
'lv'e'mei 绿萼梅
'lv'guang'fei'ying 绿光飞鹰
'lv'ling 律令
'lv'qi 绿绮
'lv'qi'xiang'lian 绿绮项链
'lv'shuang 履霜
'lv'song 绿松
'lv'song'zhui'zi 绿松坠子
'lv'yao 绿腰
'lv'yao'xiang'lian 绿腰项链
'lv'yu'pei 绿玉佩
'lv'yu'zhang 绿玉杖
'ma'mian 马面
'ma'mian'shen'fu 马面神符
'ma'nao'chuan 玛瑙串
'ma'nao'jie 玛瑙戒
'ma'nao'shi'lian'zi 玛瑙石链子
'ma'wu'zong 马无宗
'mai'gu 埋骨
'mai'gu'zhi'di 埋骨之地
'man'gui 蛮鬼
'man'ling'li'shi 蛮灵力士
'man'ling'li'shi'xiong'jia 蛮灵力士胸甲
'man'ling'li'shi'zhi'jie 蛮灵力士之戒
'man'miao 曼妙
'man'miao'hu'wan 曼妙护腕
'man'niu 蛮牛
'man'wu 蛮巫
'man'yao 蛮妖
'mang'ci 芒刺
'mang'ci'gong 芒刺弓
'mang'guo 芒果
'mang'guo'dun 芒果盾
'mang'mang'da'shi 茫茫大士
'mao'mao 毛毛
'mao'wang 猫王
'mao'yan'jie 猫眼戒
'mao'yao 猫妖
'mei'fen 煤粉
'mei'gu'hua'yao 媚骨花妖
'mei'huo 魅惑
'mei'jian'dao 眉间刀
'mei'kuang 煤矿
'mei'tu 媚兔
'mei'yao 魅妖
'mei'ying 魅影
'meng'du'xing'shi 猛毒行尸
'meng'du'ye 猛毒液
'meng'po'tang 孟婆汤
'mi'bao'ku 秘宝窟
'mi'fa 秘法
'mi'fa'hu'wan 秘法护腕
'mi'fa'ku 秘法裤
'mi'fa'lv 秘法履
'mi'fa'pao 秘法袍
'mi'hua 迷花
'mi'hua'xiang'lian 迷花项链
'mi'jing 秘境
'mi'jing'zhi'feng 秘境之风
'mi'jing'zhong'kui 秘境重盔
'mi'lin 密林
'mi'lin'mao'wang 密林猫王
'mi'lin'shan'mao 密林山猫
'mi'lin'xiong'mao 密林凶猫
'mi'lin'you'feng 密林幼蜂
'mi'mang'zhi'yu 迷茫之羽
'mi'shi 米事
'mi'shi 迷失
'mi'shi'bai'gu 迷失白骨
'mi'shi'cun 迷失村
'mi'tan 密探
'mi'tang 蜜糖
'mi'tang'er 蜜糖儿
'mi'tang'tian'shi 蜜糖天使
'mi'wu'sen'lin 迷雾森林
'mi'yin 密隐
'mi'yin 秘银
'mi'yin'ding 秘银锭
'mi'yin'pi'feng 密隐披风
'mi'yin'tui'jia 秘银腿甲
'mi'yin'xiu'jia 秘银袖甲
'mi'yin'xue 秘银靴
'mi'yin'zhan'jia 秘银战甲
'mi'zhi 蜜汁
'mi'zong 迷踪
'mi'zong'xiang'lian 迷踪项链
'mi'zong'zhan'kui 迷踪战盔
'mian'bu 棉布
'mian'bu'xie'di 棉布鞋底
'mian'xian 棉线
'miao'miao'zhen'ren 渺渺真人
'mie'ding'shui'jing 灭顶水精
'mie'ding'shui'jing'wang 灭顶水精王
'mie'fa'jin'lin 灭法金鳞
'mie'hun'quan'tao 灭魂拳套
'mie'jue 灭绝
'mie'shi'fa'wang 灭世法王
'mie'tian 灭天
'ming'cheng 名称
'ming'de'pei 明德佩
'ming'fu 冥府
'ming'fu 冥蝠
'ming'fu'li'shi 冥府力士
'ming'fu'ma'mian 冥府马面
'ming'fu'niu'tou 冥府牛头
'ming'fu'xiang'lian 冥府项链
'ming'guang 明光
'ming'guang'wan'jia 明光腕甲
'ming'guang'xia'kai 明光下铠
'ming'guang'xie 明光鞋
'ming'guang'zhan'kai 明光战铠
'ming'hu 冥虎
'ming'hu'zhi'wang 冥虎之王
'ming'huo 冥火
'ming'jing'jian 明镜剑
'ming'lang 冥狼
'ming'luan 鸣鸾
'ming'luan'yao'shi 鸣鸾腰饰
'ming'niu 冥牛
'ming'niu'zhi'wang 冥牛之王
'ming'sha'cun 鸣沙村
'ming'she 冥蛇
'ming'shi 冥使
'ming'shi 冥狮
'ming'shi'zhi'wang 冥狮之王
'ming'shou 冥兽
'ming'shou'cheng 冥兽城
'ming'shu 冥鼠
'ming'shu'zhi'wang 冥鼠之王
'ming'tu 冥屠
'ming'wang'lun 明王轮
'ming'xiang 冥祥
'ming'xiang'wan'jia 冥祥腕甲
'ming'xiang'xia'kai 冥祥下铠
'ming'xiang'xie 冥祥鞋
'ming'xiang'zhan'kai 冥祥战铠
'ming'ya 冥鸦
'ming'ya'tong'ling 冥鸦统领
'ming'ya'wu'shi 冥鸦巫师
'ming'ya'zhan'shi 冥鸦战士
'ming'zhu'zhi'wang 冥猪之王
'mo'bei 魔碑
'mo'chong'shou 魔冲兽
'mo'fen'tian 魔焚天
'mo'gu 魔骨
'mo'gu'qing'mao 魔骨轻帽
'mo'huan 魔幻
'mo'huan'mi'jie 魔幻秘戒
'mo'huan'tian 魔幻天
'mo'hun'shou 魔魂兽
'mo'jia 魔甲
'mo'jia'fu 魔甲符
'mo'jia'yin'ji 魔甲印记
'mo'jia'zun'zhe 魔甲尊者
'mo'jian 魔剑
'mo'jian'hu'wan 魔剑护腕
'mo'jian'zun'zhe 魔剑尊者
'mo'jie 魔界
'mo'jing 魔晶
'mo'jing'shou'wei 魔晶守卫
'mo'jun 魔君
'mo'jun'li'liang'zhi'jie 魔君力量之戒
'mo'jun'zhi'li 魔君之力
'mo'jun'zhong'jia 魔君重甲
'mo'kuang 魔矿
'mo'kuang'shou'wei 魔矿守卫
'mo'nv 魔女
'mo'sha 魔煞
'mo'sha'fa'pao 魔煞法袍
'mo'sha'gui'li'jie 魔煞鬼力戒
'mo'sha'hu'tui 魔煞护腿
'mo'sha'kui 魔煞盔
'mo'sha'mi'fa'jie 魔煞秘法戒
'mo'sha'qing'jia 魔煞轻甲
'mo'sha'xiang'lian 魔煞项链
'mo'sha'yao'pei 魔煞腰佩
'mo'sha'zhi'guang 魔煞之光
'mo'shi'fen 磨石粉
'mo'shou 魔兽
'mo'tian 魔天
'mo'tian'jie 魔天戒
'mo'tian'ya 摩天崖
'mo'tu'yao'pei 魔屠腰佩
'mo'wen 莫问
'mo'xing 魔刑
'mo'xing'xia'kai 魔刑下铠
'mo'xing'zun'zhe 魔刑尊者
'mo'ya 磨牙
'mo'yan 魔岩
'mo'yan'shou'wei 魔岩守卫
'mo'yin 魔音
'mo'yu'shou 魔狱兽
'mo'yu'zhi'guang 魔羽之光
'mo'yu'zhi'ling 魔羽之灵
'mu'bei 墓碑
'mu'bian'shi'lian'zi 木变石链子
'mu'gong 木弓
'mu'gui'guai 木柜怪
'mu'hu'die 木蝴蝶
'mu'huo 沐火
'mu'huo'cun 沐火村
'mu'jian 木剑
'mu'jing'tong 木精通
'mu'liao'jing'hua 木料精华
'mu'ling 木灵
'mu'ling'zhi'shi 木灵之石
'mu'shi 木使
'mu'xi 木系
'mu'xia'guai 木匣怪
'mu'xiang 木香
'mu'xiang'guai 木箱怪
'mu'yu'guan 暮雨冠
'nan'gua'tou'wan 南瓜头丸
'nan'ke 南柯
'nan'ke'ya 南柯崖
'nan'ke'zhai 南柯寨
'nan'ping 南屏
'nan'ping'shan 南屏山
'nan'ping'zhen 南屏镇
'ni'shi'zhi'zi 泥石之子
'ni'tian 逆天
'ni'tian'an'yi 逆天暗翼
'ni'tian'jie 逆天戒
'ni'tian'mo'jun 逆天魔君
'ni'tian'mo'shou 逆天魔兽
'ni'ying 匿影
'ni'ying'pi'feng 匿影披风
'nie'jia 啮甲
'nie'jia'ming'shu 啮甲冥鼠
'ning'bi'dan 凝碧丹
'ning'shen'fu 凝神符
'ning'shen'fu'zhong'ji 凝神符中级
'ning'shen'yu'pian 凝神玉片
'ning'xue 凝血
'ning'xue'tui'jia 凝血腿甲
'ning'xue'xiu'jia 凝血袖甲
'ning'xue'xue 凝血靴
'ning'xue'zhan'jia 凝血战甲
'niu'huang 牛黄
'niu'jiao 牛角
'niu'jiao'jie 牛角戒
'niu'jiao'xiang'lian 牛角项链
'niu'jin 牛筋
'niu'pi'gong'xian 牛皮弓弦
'niu'pi'jiao'si 牛皮绞丝
'niu'pi'lian'jie'huan 牛皮连接环
'niu'tou'mo 牛头魔
'niu'wang'zhi'pi 牛王之皮
'niu'wu'xuan 牛无玄
'nong'chao'zhe 弄潮者
'nong'chao'zhe'yin'ji 弄潮者印记
'nong'suo'jiao 浓缩胶
'nu'jing'kui 怒旌盔
'nu'pu 奴仆
'nu'pu 怒扑
'nu'qi 怒气
'nu'yan 怒焰
'nu'yan'fa'ku 怒焰法裤
'nu'yan'jie'zhi 怒焰戒指
'nv'gui'hu'shen'fu 女鬼护身符
'nv'nu 女奴
'nv'wa 女娲
'nv'wa'zhi'shi 女娲之石
'nv'wang 女王
'pai'shan'dao'hai 排山倒海
'pai'yun'nu 排云弩
'pan'bing 叛兵
'pan'bing'ku'lou 叛兵骷髅
'pan'long'cao 盘龙草
'pan'shi'hu'jia 磐石护甲
'pan'shi'san 磐石散
'pan'si'ling 盘丝岭
'pan'tao 蟠桃
'pao'chi 咆齿
'pao'xiao 咆哮
'peng'cheng'ke'zhan 鹏程客栈
'pi'chen 辟尘
'pi'feng 披风
'pi'ge 皮革
'pi'gua'dao 劈挂刀
'pi'hai 辟海
'pi'kong'chang'fu 劈空长斧
'pi'kong'zhang 劈空掌
'pi'li 霹雳
'pi'li'lei'hun 霹雳雷魂
'pi'li'sha 霹雳煞
'pi'li'shou 霹雳兽
'pi'mao'sui'pian 皮毛碎片
'piao'liu'deng'yao 漂流灯妖
'piao'miao 缥缈
'piao'miao'guang'yi 飘渺光翼
'piao'miao'xian'zi 飘渺仙子
'po'bing'chang'chui 破冰长锤
'po'fang 破防
'po'huai'zhe 破坏者
'po'huai'zhe'yin'ji 破坏者印记
'po'jia 破甲
'po'jia'yi'ji 破甲一击
'po'jun 破军
'po'jun'jie 破军戒
'po'jun'wu'gong 破军蜈蚣
'po'kong 破空
'po'kong'nu 破空弩
'po'kong'qing'kai 破空轻铠
'po'kong'zhi'hun 破空之魂
'po'luo'zi 婆罗子
'po'tian 破天
'po'tian'jie 破天戒
'po'tian'zhen 破天阵
'po'ye 破野
'po'zhen 破阵
'po'zhen'dao 破阵刀
'po'zhen'ping'yuan 破阵平原
'pu'ti 菩提
'pu'ti'bao'zhang 菩提宝杖
'pu'ti'jian 菩提剑
'pu'ti'mu 菩提木
'pu'ti'zhang 菩提杖
'pu'tong'wan'li'fu 普通晚礼服
'pu'tong'wan'li'fu'shou'tao 普通晚礼服手套
'pu'tong'wan'li'fu'xie 普通晚礼服鞋
'qi'bing 骑兵
'qi'bu'she 七步蛇
'qi'cai'chi'lian'she 七彩赤练蛇
'qi'ji 骐骥
'qi'lin 麒麟
'qi'lin'tui'jia 麒麟腿甲
'qi'lin'xiu'jia 麒麟袖甲
'qi'lin'xue 麒麟靴
'qi'lin'zhan'jia 麒麟战甲
'qi'men 奇门
'qi'men'hu'jia 奇门护甲
'qi'men'tui'jia 奇门腿甲
'qi'men'xiu'jia 奇门袖甲
'qi'men'xue 奇门靴
'qi'men'zhan'jia 奇门战甲
'qi'ming'zhang 启明杖
'qi'mo'zhi'zhu 七魔之主
'qi'pan'gu 棋盘谷
'qi'pao 旗袍
'qi'pao'xie 旗袍鞋
'qi'sha'gu 七杀谷
'qi'shi 弃世
'qi'shi'mo 弃世魔
'qi'shi'wan'jia 弃世腕甲
'qi'tian 齐天
'qi'tian'jie 齐天戒
'qi'xing'guai'mang 奇形怪蟒
'qi'xing'jian 七星剑
'qi'xing'shi 七星石
'qi'xing'tian'niu 七星天牛
'qi'xing'tian'niu'wang 七星天牛王
'qi'xue'guan 欺雪冠
'qi'yao 七曜
'qi'yao'yao'shi 七曜腰饰
'qi'yu 七谕
'qi'yu'yao'pei 七谕腰佩
'qi'zu 奇足
'qi'zui 七罪
'qian'fo 千佛
'qian'fo'jie 千佛戒
'qian'fu'chang 千夫长
'qian'ji 牵脊
'qian'ji'wan 千机丸
'qian'ji'wan 牵脊丸
'qian'jin 千斤
'qian'jin'chui 千斤锤
'qian'jin'zi 千金子
'qian'jing'zhe 虔敬者
'qian'jing'zhe'yin'ji 虔敬者印记
'qian'kun 乾坤
'qian'kun'hu'yi 乾坤互移
'qian'kun'wu'ji 乾坤无极
'qian'kun'yi'zhi 乾坤一掷
'qian'ling 千灵
'qian'ling'qing'kai 千灵轻铠
'qian'nian'wu 千年巫
'qian'nv'you'hun 倩女幽魂
'qian'ren 千仞
'qian'shao 前哨
'qian'shui'xuan'gui 浅水旋龟
'qian'ti'ji'neng 前提技能
'qian'xian'dan 铅霰弹
'qian'yi'gu 千蚁蛊
'qian'zhuang 钱庄
'qian'zhuang'zhang'gui 钱庄掌柜
'qian'zu'lv 千足履
'qian'zu'wang 千足王
'qiang'gong'shou 强弓手
'qiang'hua 强化
'qiang'hua'duo'po'ming'shi 强化夺魄冥狮
'qiang'hua'fei'tian'ming'hu 强化飞天冥虎
'qiang'hua'hun'shi'ming'niu 强化混世冥牛
'qiang'hua'kuang'ye'ming'lang 强化狂野冥狼
'qiang'hua'nie'jia'ming'shu 强化啮甲冥鼠
'qiang'hua'pi 强化皮
'qiang'hua'zhui'hun'ming'she 强化追魂冥蛇
'qiang'li'jiao 强力胶
'qiang'suan 强酸
'qiang'ti'shu 强体术
'qiang'xiao'hou'lin'fu 强效厚磷符
'qiang'xiao'huo'yun'fu 强效火云符
'qiang'xiao'lan'ying'fu 强效蓝影符
'qiang'xiao'qing'guang'fu 强效青光符
'qiao'jiang 巧匠
'qin'huang 秦皇
'qin'ling 秦陵
'qin'ling'jiang'jun 秦陵将军
'qin'lue'huo 侵略火
'qing'du'chui 青犊锤
'qing'e'pei 青娥佩
'qing'feng'jian 青锋剑
'qing'fu 青蚨
'qing'ge'man'wu 轻歌曼舞
'qing'he 青和
'qing'he'zhi'shi 青和之石
'qing'hua'lei'zu 青华雷祖
'qing'hui 清辉
'qing'hui'xiang'lian 清辉项链
'qing'ji'lu 清寂露
'qing'jia 轻甲
'qing'jin'pei 青金佩
'qing'kai 轻铠
'qing'long'wan 青龙湾
'qing'mao 轻帽
'qing'niu'lei'mo'wang 青牛雷魔王
'qing'shuang'dan 青霜丹
'qing'si'fa'ku 轻丝法裤
'qing'si'hu'wan 轻丝护腕
'qing'si'lv 轻丝履
'qing'si'pao 轻丝袍
'qing'ting'ci'yu 蜻蜓刺玉
'qing'tong'chang'dao'dao'ge 青铜长刀刀格
'qing'tong'chang'fu 青铜长斧
'qing'tong'chang'gan'jie'sun 青铜长杆接榫
'qing'tong'duan'ren'bing 青铜短刃柄
'qing'tong'gu'jia'he'ye 青铜股甲合页
'qing'tong'gun'bang'hu'shou 青铜棍棒护手
'qing'tong'hu'shen'suo 青铜护身锁
'qing'tong'huai'jia'he'ye 青铜踝甲合页
'qing'tong'jian 青铜剑
'qing'tong'jian'jia'he'ye 青铜肩甲合页
'qing'tong'kui 青铜盔
'qing'tong'mao'bing 青铜矛柄
'qing'tong'mian'zhao'he'ye 青铜面罩合页
'qing'tong'nu 青铜弩
'qing'tong'nu'ji 青铜弩机
'qing'tong'xiu'jia'he'ye 青铜袖甲合页
'qing'wan 轻腕
'qing'xin 清心
'qing'xin'zhou 清心咒
'qing'xu 清虚
'qing'xu'kui 清虚盔
'qing'xue 轻靴
'qing'yang 清扬
'qing'yao'wan 清瑶丸
'qing'yi'hu'tui 青衣护腿
'qing'yi'zhi'jie 情义之戒
'qing'yi'zi 青衣子
'qing'yi'zi'fa'ku 青衣子法裤
'qing'yi'zi'xiang'lian 青衣子项链
'qing'yu 青玉
'qing'yu'zhi'shi 青玉之石
'qing'yu'zhi'shi'ji 青玉之石级
'qing'yue 倾月
'qing'yue'fa'guan 倾月法冠
'qing'yun 青云
'qing'yun'xiang'lian 青云项链
'qing'zhi'shui'jing 清之水精
'qiong'qi 穷奇
'qiu'long 囚龙
'qiu'tu 囚徒
'qiu'ying 仇英
'qu'huang'san 渠黄散
'qu'huo'zhe 驱火者
'qu'huo'zhe'yin'ji 驱火者印记
'qu'long'zhang 驱龙杖
'qu'mo'fan 驱魔幡
'qu'niao 驱鸟
'qu'shen'zhang 驱神杖
'qu'zhi 曲直
'qu'zhi'xiang'lian 曲直项链
'qu'zhu 驱逐
'qu'zhu'zhou 驱逐咒
'qu'zhu'zhuang'tai 驱逐状态
'quan'shu 拳术
'quan'shu'jing'tong 拳术精通
'quan'tao 拳套
'que'hua'gong 雀画弓
'que'hua'tan 雀画滩
'que'shi 雀石
'qun'gong 群攻
'qun'jia 群加
'qun'li 群力
'qun'li'de'hu'fu 群力的护符
'qun'li'zhi'xue 群力之靴
'qun'mo 群魔
'ren'jie 人杰
'ren'lang 人狼
'ren'lang'gong'shou 人狼弓手
'ren'mian'tao'hua 人面桃花
'ren'zu 人族
'ri'ye'fu 日夜浮
'ri'yue'yue 日月钺
'rong'yan 熔岩
'rong'yan'jie'jing 熔岩结晶
'rong'yan'yao'pei 熔岩腰佩
'rong'yan'zhi'wang 熔岩之王
'rou'bo'jing'tong 肉搏精通
'ru'lv'ling 如律令
'ru'yi'yao'shi 如意腰饰
'ruan'pi 软皮
'ruan'pi'wan'jia 软皮腕甲
'ruan'pi'xia'kai 软皮下铠
'ruan'pi'xie 软皮鞋
'ruan'pi'zhan'kai 软皮战铠
'ruan'si'jin 软丝巾
'ruan'wei'ci'qiu 软猬刺球
'ruan'xie 软鞋
'rui'li 锐利
'rui'li'zhi'shi 锐利之石
'rui'li'zhi'shi'ji 锐利之石级
'rui'nian'shou 瑞年兽
'run'ze 润泽
'run'zhi'tu'jing 润之土精
'ruo'hun'zhou 弱魂咒
'ruo'shui 弱水
'ruo'shui'zhi'yuan 弱水之源
'ruo'zhuo'dao 若拙刀
'san'cai'shi 三才石
'san'jie'lun 三界轮
'san'qing'lu 三清露
'san'qing'pei 三清佩
'san'ren'shi 三刃矢
'san'yan'man'gui 三眼蛮鬼
'san'yan'man'gui'wang 三眼蛮鬼王
'sao'ye'dao 扫叶刀
'se'gui 色鬼
'sen'lin'lang 森林狼
'sen'lin'lang'wang 森林狼王
'sha'chong 沙虫
'sha'chui'tou'zhu'mu 砂锤头铸模
'sha'dao 沙盗
'sha'dao'feng'zhu'mu 砂刀锋铸模
'sha'du'xie 沙毒蝎
'sha'fu'ren'zhu'mu 砂斧刃铸模
'sha'guai 沙怪
'sha'jian'ren'zhu'mu 砂剑刃铸模
'sha'jin'gang'chu'zhu'mu 砂金刚杵铸模
'sha'ling'gui'tou'cha 煞灵鬼头叉
'sha'ling'gui'tou'chui 煞灵鬼头锤
'sha'mo'hai 沙漠海
'sha'pi'hu'huai'zu'jian 鲨皮护踝组件
'sha'pi'hu'xi'zu'jian 鲨皮护膝组件
'sha'pi'hu'xin'jing'zu'jian 鲨皮护心镜组件
'sha'pi'mao'yan 鲨皮帽檐
'sha'pi'piao'dai'zu'jian 鲨皮飘带组件
'sha'pi'wan'jia'zu'jian 鲨皮腕甲组件
'sha'ren'bing'yi 杀人兵蚁
'sha'ren'yi 杀人蚁
'sha'shi 砂石
'sha'shou'wang 杀手王
'sha'wang 沙王
'sha'wang'zhi'nu 沙王之怒
'sha'xian 沙陷
'sha'yuan'yang'dao'zhu'mu 砂鸳鸯刀铸模
'sha'yuan'yang'jian'zhu'mu 砂鸳鸯剑铸模
'sha'zhi'huan'zhu'mu 砂指环铸模
'sha'zi'mu'chui'zhu'mu 砂子母锤铸模
'sha'zi'mu'fu'zhu'mu 砂子母斧铸模
'shan'dian'diao 闪电貂
'shan'dian'diao'wang 闪电貂王
'shan'dian'you'diao 闪电幼貂
'shan'he'kui 山河盔
'shan'hu'jie'kou 珊瑚节扣
'shan'hu'shou'zhang'mu'ban 珊瑚手掌模板
'shan'hu'xiao'duan 珊瑚小段
'shan'hu'zhang'bing 珊瑚杖柄
'shan'hua'fu 闪华斧
'shan'kong 闪空
'shan'lin'she 闪鳞蛇
'shan'lin'wang'she 闪鳞王蛇
'shan'lin'you'feng 山林幼蜂
'shan'mao 山猫
'shan'meng'hai'shi'nan'zhuang'ku'zi 山盟海誓男装裤子
'shan'meng'hai'shi'nan'zhuang'shang'yi 山盟海誓男装上衣
'shan'meng'hai'shi'nan'zhuang'xie 山盟海誓男装鞋
'shan'meng'hai'shi'nv'zhuang'ku'zi 山盟海誓女装裤子
'shan'meng'hai'shi'nv'zhuang'shang'yi 山盟海誓女装上衣
'shan'meng'hai'shi'nv'zhuang'xie 山盟海誓女装鞋
'shan'shuo 闪烁
'shan'shuo'pi'feng 闪烁披风
'shan'wei'jing 山猬精
'shan'yuan'lao'yao 山猿老妖
'shan'zhi 山指
'shan'zhi'zhong'pi 山指重皮
'shan'zhuang 山庄
'shang'gu 上古
'shang'gu'xing'shi 上古行尸
'shang'qi'sen'lin 伤麒森林
'shang'qing'deng'xian 上清灯仙
'shang'qing'jian 上清剑
'shang'shan'shi 赏善使
'shang'xian'jian 上仙剑
'shang'xin'gu 伤心蛊
'shang'zhen'jian 上真剑
'shao'yang 少阳
'shao'yang'xiang'lian 少阳项链
'shao'yin 少阴
'she'dao 蛇岛
'she'dao'zhi'hou 蛇岛之后
'she'dao'zhi'wang 蛇岛之王
'she'han'cao 蛇含草
'she'hun 摄魂
'she'hun'ta 摄魂塔
'she'jiao'nu 射鲛弩
'she'li 猞猁
'she'li'mao'wang 猞猁猫王
'she'ning 蛇狞
'she'ning'ci'wei 蛇狞刺猬
'she'ning'wei'wang 蛇狞猬王
'she'ri'gong 射日弓
'she'shen 舍神
'she'shou 射手
'she'shou'can'gu 射手残骨
'she'wang 蛇王
'she'wang'yao'pei 蛇王腰佩
'she'xie 蛇蝎
'she'xie'dong 蛇蝎洞
'she'xie'gu 蛇蝎谷
'she'xie'hu'tui 蛇蝎护腿
'she'xie'jie'zhi 蛇蝎戒指
'she'xie'zhi'shi 蛇蝎之矢
'she'xing'qiang 蛇形枪
'shen'bi'nu 神臂弩
'shen'bing'li'qi 神兵利器
'shen'du'pei 慎独佩
'shen'fu 神符
'shen'fu'hu'shen'fu 神辅护身符
'shen'fu'mo'li'fu 神辅魔力符
'shen'fu'shu 神辅术
'shen'guang 神光
'shen'guang'xiang'lian 神光项链
'shen'hai 深海
'shen'hai'jie'zhi 深海戒指
'shen'hai'ju'long 深海巨龙
'shen'hai'zhi'chu 深海之触
'shen'hu 神护
'shen'hua 神话
'shen'huo'fu 神火符
'shen'jian 神谏
'shen'lei 神雷
'shen'nong 神农
'shen'nong'zhi'shi 神农之石
'shen'qi'wan 神气丸
'shen'she'shou 神射手
'shen'she'wang 神射王
'shen'tan'xuan'gui 深潭旋龟
'shen'tu'lie 申屠烈
'shen'wei 神威
'shen'wei'zhan'jia 神威战甲
'shen'wu'zhen'tian'gong 神武镇天弓
'shen'xian 神仙
'shen'xian'cha 神仙茶
'shen'xian'yu 神仙鱼
'shen'xing'san 神行散
'shen'xiu 神秀
'shen'ying 神鹰
'shen'ying'yi'yang 神鹰翼扬
'shen'you 神佑
'sheng'bei 圣碑
'sheng'hu'xuan'gui 圣湖旋龟
'sheng'ji 升级
'sheng'ji'ang'ran'wan 生机盎然丸
'sheng'ming'qiang'hua 生命强化
'sheng'shou 圣兽
'sheng'shou'hu'ti'lu 圣兽护体露
'sheng'shou'hu'tui 圣兽护腿
'sheng'shui 剩水
'sheng'tie 生铁
'sheng'xian 圣贤
'sheng'xian'guan 圣贤冠
'sheng'yin 圣音
'sheng'yin'tian'su 圣音天簌
'sheng'yu 圣域
'sheng'yu'fu'zhu 圣域夫诸
'shi'ban'gong'bei'wan 事半功倍丸
'shi'e'jian 释厄剑
'shi'gui'dan 石龟丹
'shi'hou'wei'shi 石吼卫士
'shi'hou'yong'shi 石吼勇士
'shi'hou'zhan'shi 石吼战士
'shi'hou'zhi'wang 石吼之王
'shi'hou'zhong'jia 狮吼重甲
'shi'huang'lang 石荒狼
'shi'hui'fen 石灰粉
'shi'hun 噬魂
'shi'hun'jie 噬魂戒
'shi'hun'shui'jing 噬魂水精
'shi'hun'xia'kai 噬魂下铠
'shi'hun'zhe 嗜魂者
'shi'hun'zhe 噬魂者
'shi'hun'zhe'yin'ji 噬魂者印记
'shi'kuai 石块
'shi'lian'chang'dao 试炼长刀
'shi'lian'duan'zhang 试炼短杖
'shi'lian'fa'zhang 试炼法杖
'shi'lian'xun'nu 试炼迅弩
'shi'ling'zhong'xue 食灵重靴
'shi'mo 尸魔
'shi'mo'de'xue'lian 尸魔的血链
'shi'mo'tou'jin 尸魔头巾
'shi'nv 侍女
'shi'nv'xie 仕女鞋
'shi'nv'zhuang 仕女装
'shi'po 石破
'shi'po'tian'jing 石破天惊
'shi'qian'jun 狮千军
'shi'ren'hua 食人花
'shi'ren'hua'miao 食人花苗
'shi'ren'mo 食人魔
'shi'ren'mo'shu 食人魔树
'shi'she'diao 食蛇貂
'shi'she'diao'wang 食蛇貂王
'shi'she'you'diao 食蛇幼貂
'shi'shi 食尸
'shi'shui'fan 逝水幡
'shi'wan 石丸
'shi'wan'jun 狮万军
'shi'xiang'shou'hu 石像守护
'shi'xin'tou'kui 狮心头盔
'shi'xin'xiang'lian 狮心项链
'shi'xue 嗜血
'shi'xue 噬血
'shi'xue'shi 噬血狮
'shi'xue'yao'zhu'wang 嗜血妖蛛王
'shi'yao 狮妖
'shi'yue 食岳
'shi'yue'qing'xue 食岳轻靴
'shi'zhui 石锥
'shi'zhui'jie'zhi 石锥戒指
'shi'zhui'mang'ci 石锥芒刺
'shi'zhui'mi'fa'ku 石锥秘法裤
'shi'zhui'qi'bu'she 石锥七步蛇
'shi'zhui'xia'kai 石锥下铠
'shi'zhui'xiang'lian 石锥项链
'shi'zhui'yao'pei 石锥腰佩
'shi'zhui'zhong'wan 石锥重腕
'shi'zi'hou 狮子吼
'shi'zi'nu 十字弩
'shou'gu 兽骨
'shou'gu'xiang'lian 兽骨项链
'shou'hu'dou'peng 守护斗篷
'shou'hu'ren 手虎刃
'shou'hu'tui'jia 守护腿甲
'shou'hu'xiu'jia 守护袖甲
'shou'hu'xue 守护靴
'shou'hu'zhan'jia 守护战甲
'shou'hu'zhe 守护者
'shou'hu'zhe'yin'ji 守护者印记
'shou'hun'zhi'nu 兽魂之怒
'shou'lie'shan'mao 狩猎山猫
'shou'lie'zhe 狩猎者
'shou'lie'zhe'yin'ji 狩猎者印记
'shou'pi'quan'tao 兽皮拳套
'shou'wang 兽王
'shou'wang 守望
'shou'wang'chui 兽王锤
'shou'wang'gu'wu 兽王鼓舞
'shou'wang'wu'di 兽王无敌
'shou'wang'zhi'nu 兽王之怒
'shou'wei 守卫
'shou'wei'ku'gu 守卫枯骨
'shou'wu 首乌
'shu'hun'hu'tui 树魂护腿
'shu'jing 树精
'shu'shang 书商
'shu'shi 术士
'shu'shi'ku'gu 术士枯骨
