'ai'zhang'xia 矮嶂下
'shan'zai'xia 山仔下
'shan'zhou 山洲
'shang'ba'shui'ku 上八水库
'shang'ban'qiao 上板桥
'shang'ban'qiao'shui'ku 上板桥水库
'shang'cai 上蔡
'shang'cang 上仓
'shang'cao'dong 上曹洞
'shang'chang'ling 上长岭
'shang'chuan'dao 上川岛
'shang'cun 上村
'shang'cun'kou 上村口
'shang'deng 上凳
'shang'dong 上洞
'shang'hang 上杭
'shang'heng'li 上横沥
'shang'jiang'cheng 上江城
'shang'jiao 上窖
'shang'jin'xi 上金溪
'shang'jin'xi'shui'ku 上金溪水库
'shang'kong 上空
'shang'kong'shui'ku 上空水库
'shang'lan'dian 上兰靛
'shang'lan'dian'shui'ku 上兰靛水库
'shang'liang 上良
'shang'mao'ping 上茂坪
'shang'nan 上南
'shang'ping 上坪
'shang'san'keng 上三坑
'shang'san'keng'shui'ku 上三坑水库
'shang'sha 上砂
'shang'sheng'shui'wei 上升水位
'shang'shuai 上帅
'shang'shui 上水
'shang'shui'shui'ku 上水水库
'shang'su 上俗
'shang'tian 尚田
'shang'tun 上屯
'shang'wei 上围
'shang'wen 尚文
'shang'wen'shui'ku 尚文水库
'shang'xiao'he 上小河
'shang'yang'keng 上羊坑
'shang'yi 上义
'shang'you'duan 上游段
'shang'you'he'dao 上游河道
'shang'zhai 上寨
'shang'zhang'shui'wei 上涨水位
'shao'guan'shi 韶关市
'she'bian'keng 社边坑
'she'gong'shan 社公山
'she'liu 射流
'she'qu 蛇曲
'she'tang 社塘
'she'tou'wan 蛇头湾
'shen'bu'shui 深步水
'shen'bu'shui'shui'ku 深步水水库
'shen'du'shui 深渡水
'shen'gang 神岗
'shen'hong 深泓
'shen'hong'xian 深泓线
'shen'jing'shui'ku 深井水库
'shen'keng 渗坑
'shen'lou'sun'shi 渗漏损失
'shen'qie'he 深切河
'shen'wan 神湾
'shen'yong 深涌
'shen'zhen'he 深圳河
'shen'zhen'shui'ku 深圳水库
'sheng'che 升车
'sheng'hua'xu'yang'liang 生化需氧量
'sheng'li'shui'ku 胜利水库
'sheng'qian 胜前
'sheng'tai'xi'tong 生态系统
'sheng'tao 绳套
'shi'ban'xia 石版下
'shi'ban'xu 石板墟
'shi'bei 石陂
'shi'bei'keng 石陂坑
'shi'bei'mian'xi 石陂面溪
'shi'bei'shan 石碑山
'shi'bi'shui'ku 石壁水库
'shi'ce'zi'liao 实测资料
'shi'dong 诗洞
'shi'dong 石垌
'shi'gou 石狗
'shi'gu 石谷
'shi'gu 石骨
'shi'gu'shui'ku 石骨水库
'shi'gu'tang 石牯塘
'shi'he 石河
'shi'he'shui'ku 石河水库
'shi'ji'jiao 石基窖
'shi'jia'dong 释迦岽
'shi'jian 石涧
'shi'jian 石简
'shi'jiao 石角
'shi'jiao'ba 石角坝
'shi'jiao'qiao 狮窖桥
'shi'jie 石街
'shi'jing 石井
'shi'jing 石径
'shi'ju 石咀
'shi'kan 石坎
'shi'keng'kou 狮坑口
'shi'ku'he 石窟河
'shi'lang 石朗
'shi'lin'ling 石林岭
'shi'ling'xu 石岭圩
'shi'liu'gang 石榴岗
'shi'liu'tan 石榴潭
'shi'liu'tan'shui'ku 石榴潭水库
'shi'long'bei 石龙北
'shi'ma'he 石马河
'shi'nian 湿年
'shi'pai 石排
'shi'ping 石坪
'shi'qi'he 石岐河
'shi'qi'zhen 石歧镇
'shi'run'dai 湿润带
'shi'run'qu 湿润区
'shi'shan'ling 石山岭
'shi'shan'shui'ku 狮山水库
'shi'shi'tou 石示头
'shi'ta 石塔
'shi'tan 石潭
'shi'tang 石塘
'shi'tang'shui 石塘水
'shi'tou'he 石头河
'shi'wei'tang 石围塘
'shi'xia 石下
'shi'xia 示下
'shi'xia'ba 石下坝
'shi'xia'shan 石下山
'shi'xin 石新
'shi'xing 始兴
'shi'xing'xian 始兴县
'shi'yan'liu'yu 实验流域
'shi'yan'shui'ku 石岩水库
'shi'zai'sha 石仔沙
'shi'zheng 石正
'shi'zhou 湿周
'shi'zhou 石洲
'shi'zi'kou 狮子口
'shou'chang'he 寿长河
'shou'huo'nong'chang 收获农场
'shu'sha 输沙
'shu'sha'liang 输沙量
'shu'sha'lv 输沙率
'shu'sha'neng'li 输沙能力
'shu'shui'lv 输水率
'shu'tang'shi 书堂石
'shuang'hua 双华
'shuang'jie 双捷
'shuang'keng 双坑
'shuang'pei 双沛
'shuang'ping 双坪
'shuang'qiao 双桥
'shuang'tian 双田
'shuang'xi 双溪
'shuang'xi'shui'ku 双溪水库
'shuang'xia 双下
'shui'bei 水背
'shui'bin 水滨
'shui'bo'xing 水波形
'shui'ceng'fan'teng 水层翻腾
'shui'chi 水尺
'shui'dao'ce'liang'xue 水道测量学
'shui'dong'bei 水东陂
'shui'dong'bei'shui'ku 水东陂水库
'shui'dun'xu 水墩圩
'shui'hua'xue 水化学
'shui'jie 水界
'shui'jing 水迳
'shui'jing'shui'ku 水迳水库
'shui'ke'xue 水科学
'shui'kou'wei 水口围
'shui'ku'ming'cheng 水库名称
'shui'li'ban'jing 水力半径
'shui'li'dian'li'kan'ce'she'ji'yuan 水利电力勘测设计院
'shui'li'xue 水力学
'shui'liang'ping'heng 水量平衡
'shui'liang'sun'shi 水量损失
'shui'liu'keng 水流坑
'shui'liu'shan 水流山
'shui'liu'zhong'xian 水流中线
'shui'liu'zhou'xian 水流轴线
'shui'mian'liu'su 水面流速
'shui'mian'zheng'fa 水面蒸发
'shui'mian'zheng'fa'liang 水面蒸发量
'shui'nei'bing 水内冰
'shui'she 水舌
'shui'shi'shui'ku 水市水库
'shui'teng 水藤
'shui'tou'sun'shi 水头损失
'shui'wang 水网
'shui'wei 水尾
'shui'wei'zhan 水位站
'shui'wen'ce'yan 水文测验
'shui'wen'ce'zhan 水文测站
'shui'wen'di'li'xue 水文地理学
'shui'wen'gan'han 水文干旱
'shui'wen'ju 水文局
'shui'wen'kan'ce 水文勘测
'shui'wen'nian'jian 水文年鉴
'shui'wen'qi'xiang'xue 水文气象学
'shui'wen'qing'shi 水文情势
'shui'wen'xue 水文学
'shui'wen'xun'huan 水文循环
'shui'wen'yao'su 水文要素
'shui'wen'zong'zhan 水文总站
'shui'xi 水西
'shui'xi'chu'kou 水系出口
'shui'xi'xing'shi 水系形式
'shui'xiang 水响
'shui'xun'huan 水循环
'shui'yang'dong 水洋洞
'shui'yue 水跃
'shui'zhu'tang 水竹塘
'shui'zhun'dian 水准点
'shun'de'qu 顺德区
'shun'de'shui'dao 顺德水道
'shun'de'xian 顺德县
'shun'li'wei 顺利围
'shun'shui 舜水
'shun'tou'ling 顺头岭
'shuo'wang'da'chao 朔望大潮
'si'bao 四堡
'si'bao'shui'ku 四堡水库
'si'fang'wei 四方围
'si'hui'shi 四会市
'si'hui'xian 四会县
'si'jiu 四九
'si'liang'jiang 思良江
'si'lun 泗纶
'si'qian 司前
'si'qian 寺前
'si'sheng'wei 泗盛围
'si'shui 泗水
'si'shui'xu 泗水圩
'si'xi'he 澌溪河
'si'xi'he'shui'ku 澌溪河水库
'si'xian'jiao'shang 思贤窖上
'si'xian'jiao'xia 思贤窖下
'si'xian'shi'lian'he'zong'gan'qu 四县市联合总干渠
'song'bai'dong 松柏洞
'song'hua'dong 松花洞
'song'keng 松坑
'song'long 宋隆
'song'mu'shan 松木山
'song'mu'shan'shui'ku 松木山水库
'song'shu'tun 松树屯
'song'shui 松水
'song'tang 松塘
'song'yuan'he 松源河
'song'zhu'he 松竹河
'song'zi'keng 松子坑
'song'zi'keng'shui'ku 松子坑水库
'sui'jiang 绥江
'sui'xi 遂溪
'sui'xi'xian 遂溪县
'ta'jiao 塔脚
'tai'ping'chang 太平场
'tai'ping'chang'zhen 太平场镇
'tai'ping'cun 太平村
'tai'ping'pu 太平埔
'tai'sen'duo'bian'xing 泰森多边形
'tai'shan'shi 台山市
'tai'shan'xian 台山县
'tan'ban 谭阪
'tan'bu 潭布
'tan'cun 潭村
'tan'gong'dong 潭公洞
'tan'jiang 潭江
'tan'keng 潭坑
'tan'ling 潭岭
'tan'ling'shui'ku 潭岭水库
'tan'shui 潭水
'tan'shui'he 潭水河
'tan'shui'xu 潭水圩
'tan'tou 谭头
'tan'tou 潭头
'tan'wu'ling 谭屋岭
'tan'xia 滩下
'tan'xia 潭下
'tan'xia'he 潭下河
'tan'zhou 坦洲
'tan'zhou 潭洲
'tan'zhou'shui'dao 潭洲水道
'tang'cun 塘村
'tang'hu 塘湖
'tang'jia 唐家
'tang'jia'wan 唐家湾
'tang'jiao 塘角
'tang'jing 棠荆
'tang'keng 塘坑
'tang'keng 汤坑
'tang'keng'shui'ku 汤坑水库
'tang'kou'xu 塘口圩
'tang'lian'wan 塘莲湾
'tang'mi 棠密
'tang'pen 汤盆
'tang'peng'xu 塘蓬圩
'tang'she 汤畲
'tang'tang 汤塘
'tang'tian 塘田
'tang'tian'shui'ku 塘田水库
'tang'wan'ba 塘湾坝
'tang'wei 塘尾
'tang'wu 唐屋
'tang'xi 汤溪
'tang'xi'shui'ku 汤溪水库
'tang'zhui 塘缀
'tao'jiang 桃江
'tao'ping 桃坪
'tao'xi 桃西
'tao'xi 桃溪
'tao'zi'keng 桃子坑
'te'zheng'shui'wei 特征水位
'ti'xia 梯下
'tian'an 天安
'tian'e'shui'ku 天鹅水库
'tian'he'qu 天河区
'tian'hu 天湖
'tian'hu'shui'ku 天湖水库
'tian'ji'sha'li 田基沙沥
'tian'keng 田坑
'tian'liu'shui 田流水
'tian'qing'hu 天青湖
'tian'tang'ding 天堂顶
'tian'tang'shan 天堂山
'tian'tang'shan'shui'ku 天堂山水库
'tian'tou'wu 田头屋
'tian'wa 填洼
'tian'wa'liang 填洼量
'tian'wen'chao 天文潮
'tian'xi 田西
'tian'xi'shui'ku 田西水库
'tian'xin 田心
'tian'xin'lou 田心楼
'tian'xin'zhai 田心寨
'tie'chang 铁场
'tie'gang 铁岗
'tie'gang'shui'ku 铁岗水库
'tie'ma'keng 铁马坑
'tie'shi'ling 铁屎岭
'ting'jiang 汀江
'ting'jiao 亭角
'tong'feng 铜峰
'tong'liang 通量
'tong'luo'hu 铜锣湖
'tong'sha 同沙
'tong'sha'shui'ku 同沙水库
'tong'you 桐油
'tong'zi'yuan 桐梓园
'tou'dong 头垌
'tou'guang'ceng 透光层
'tou'jia 头甲
'tou'shui 透水
'tou'shui'ceng 透水层
'tou'tang 头塘
'tu'an 凸岸
'tu'le 土乐
'tu'le'shui'ku 土乐水库
'tu'long'wan 土龙湾
'tu'nei'shui'liu 土内水流
'tui'chao 退潮
'tui'shui'duan 退水段
'tui'shui'qi 退水期
'tui'shui'qu'xian 退水曲线
'tun'pu 屯埔
'tuo'pu 佗浦
'wa'di'xu'shui'liang 洼地蓄水量
'wa'dian 洼淀
'wa'xi 瓦溪
'wa'yao 瓦窑
'wai'gong 外宫
'wai'hai 外海
'wai'liu'he 外流河
'wai'sha'he 外砂河
'wan'hua 湾华
'wan'mu'shui'ku 万亩水库
'wan'qing'sha'xi 万顷沙西
'wan'qu'lv 弯曲率
'wan'yao 碗窑
'wang'bu'xu 网步圩
'wang'fu'liu 往复流
'wang'fu'xu 望夫圩
'wang'jia'shan 王家山
'wang'wu 王屋
'wei'bo'shu 韦伯数
'wei'ping 围坪
'wei'zheng 威整
'wen'bu 文布
'wen'di 文地
'wen'fu 文福
'wen'gong 温公
'wen'gong'shui'ku 温公水库
'wen'hai'qiao 文海桥
'wen'lou'xu 文楼圩
'wen'luo'he 汶罗河
'wen'quan'ren'gong'hu 温泉人工湖
'wen'shen 稳渗
'wen'shi'xiao'ying 温室效应
'wen'shui 汶水
'wen'xi 文溪
'wen'yi 文义
'wen'zheng'keng 文政坑
'weng'cheng 翁城
'weng'jiang 翁江
'weng'keng 翁坑
'weng'nei 翁内
'weng'nei'shui'ku 翁内水库
'weng'tan 翁潭
'weng'tan'shui'ku 翁潭水库
'weng'yuan 翁源
'weng'yuan'xian 翁源县
'wo'shui 涡水
'wo'shui'he 涡水河
'wu'chuan'shi 吴川市
'wu'chuan'xian 吴川县
'wu'dong 梧洞
'wu'dou 五斗
'wu'du'cun 五渡村
'wu'gong'ling 蜈蚣岭
'wu'gong'ling'shui'ku 蜈蚣岭水库
'wu'he 五和
'wu'hua 五华
'wu'hua'he 五华河
'wu'hua'shui'tu'bao'chi 五华水土保持
'wu'hua'shui'tu'bao'chi'zhan 五华水土保持站
'wu'hua'xian 五华县
'wu'jiang 武江
'wu'jiang'he 雾江河
'wu'jiang'qu 武江区
'wu'jing 乌迳
'wu'jing'fu 五经富
'wu'kan 乌坎
'wu'li'pai 五里牌
'wu'li'pai'shui'ku 五里牌水库
'wu'ling'shui'ku 武陵水库
'wu'ni'he 乌坭河
'wu'shi 乌石
'wu'shi'gang 乌石岗
'wu'shi'shui'ba 乌石水坝
'wu'shi'tou 乌石头
'wu'shuang'qi 无霜期
'wu'shui 武水
'wu'shui'he 武水河
'wu'tong'he 梧桐河
'wu'zhou 乌洲
'wu'zhu 乌珠
'xi'ao 细坳
'xi'chang 锡场
'xi'dou 西窦
'xi'fu'he 西福河
'xi'gan'qu 西干渠
'xi'gou'liao 犀狗寮
'xi'gu 溪谷
'xi'gu 细谷
'xi'hao'yong 西濠涌
'xi'hu'shui'ku 西湖水库
'xi'keng 西坑
'xi'keng'qu 西坑渠
'xi'keng'shui'ku 西坑水库
'xi'lang 西朗
'xi'li 西沥
'xi'li'shui'ku 西沥水库
'xi'lin'he 西林河
'xi'ma 西麻
'xi'mei'xi 溪美溪
'xi'nan 溪南
'xi'nan'shui'ku 溪南水库
'xi'nan'yong'kou'shang 西南涌口上
'xi'niu'tan 西牛潭
'xi'niu'tan'shui'ku 西牛潭水库
'xi'pao'tai 西炮台
'xi'shan'he 西山河
'xi'shan'shui'ku 西山水库
'xi'tou 溪头
'xi'xi'he 西溪河
'xi'zhi'jiang 西支江
'xia'bao'xi 下宝溪
'xia'bao'xi'shui'ku 下宝溪水库
'xia'bei 下陂
'xia'chuan 下川
'xia'dian'mian 下垫面
'xia'dong 霞垌
'xia'dong 霞洞
'xia'dong 下垌
'xia'feng'xi 霞峰溪
'xia'gong'yan 虾公岩
'xia'gong'yan'shui'ku 虾公岩水库
'xia'he'dong 下河洞
'xia'hu 下葫
'xia'huang'sha 下黄沙
'xia'jiao 下窖
'xia'keng 下坑
'xia'lian'tang 下莲塘
'xia'liao'cun 下寮村
'xia'lin'tang 下林塘
'xia'lu 下录
'xia'lu'she 下鹿社
'xia'nan 下南
'xia'san'keng 下三坑
'xia'san'keng'shui'ku 下三坑水库
'xia'sha'zhou 霞沙洲
'xia'sha'zhou'shui'ku 霞沙洲水库
'xia'shan'qu 霞山区
'xia'shen 下渗
'xia'shi 霞石
'xia'shi 硖石
'xia'shuai 下帅
'xia'shui 夏水
'xia'shui'shui'ku 夏水水库
'xia'tan'dong 下潭洞
'xia'xiao'he 下小河
'xia'xu 下圩
'xia'yong 下涌
'xia'you'he'duan 下游河段
'xia'yuan 下园
'xia'zhu 下竹
'xia'zhu'shui'ku 下竹水库
'xian'gang 显岗
'xian'gang'shui'ku 显岗水库
'xian'jia 仙家
'xian'jia'dong 仙家洞
'xian'jia'dong'shui'ku 仙家洞水库
'xian'nv'shi 仙女石
'xian'sha 蚬沙
'xian'shui'qin'zhan 咸水侵占
'xian'shui'ru'qin 咸水入侵
'xian'tang 仙塘
'xian'xi 仙溪
'xian'xue 陷穴
'xiang'dong 湘垌
'xiang'dong'shui'ku 湘垌水库
'xiang'dui'zheng'fa'liang 相对蒸发量
'xiang'kou'shui'ku 巷口水库
'xiang'long 象龙
'xiang'qiao'qu 湘桥区
'xiang'shan 项山
'xiang'shui'long 响水窿
'xiang'shui'tan 响水潭
'xiang'shui'tan'shui'ku 响水潭水库
'xiang'xi 象溪
'xiang'xi 香溪
'xiang'yang'shui'ku 向阳水库
'xiang'zhou'qu 香洲区
'xiao'an 小安
'xiao'bei'jiang 小北江
'xiao'chang'qiao 小长桥
'xiao'dong 小洞
'xiao'fang'ge'wang'fa 小方格网法
'xiao'gu'lu 小古录
'xiao'jiang 小江
'xiao'jiang'he 小江河
'xiao'jiao'keng 小蕉坑
'xiao'jin 小金
'xiao'keng 小坑
'xiao'keng'shui'ku 小坑水库
'xiao'lan 小榄
'xiao'lan'shui'dao 小榄水道
'xiao'li'he 小沥河
'xiao'lin 小林
'xiao'long'xi 小龙溪
'xiao'long'xi'shui'ku 小龙溪水库
'xiao'luo 小罗
'xiao'mi'shui'ku 小密水库
'xiao'san'jiang 小三江
'xiao'shi'shi 小石示
'xiao'shui'ku 小水库
'xiao'shui'ping 小水坪
'xiao'tang 小唐
'xiao'tie'zhai 小铁寨
'xie'bing 屑冰
'xie'cai 谢才
'xie'cai'xi'shu 谢才系数
'xie'hu 泻湖
'xie'lou 斜楼
'xie'shui'kong 泄水孔
'xie'wen'ceng 斜温层
'xin'bei 新陂
'xin'cun'qiao 新村桥
'xin'cun'shui'ku 新村水库
'xin'feng 新丰
'xin'feng'jiang 新丰江
'xin'feng'jiang'shui'ku 新丰江水库
'xin'feng'xian 新丰县
'xin'hu 新湖
'xin'hu'shui'ku 新湖水库
'xin'hui'he'kou 新会河口
'xin'hui'qu 新会区
'xin'hui'xian 新会县
'xin'jia'pu 新家埔
'xin'jiang 新江
'xin'jin'he 新津河
'xin'keng 新坑
'xin'keng'shui'ku 新坑水库
'xin'ling 新岭
'xin'tang 新塘
'xin'wan 新湾
'xin'wu 新屋
'xin'wu'zai 新屋仔
'xin'xi 新溪
'xin'xi'he 新西河
'xin'xi'he'shui'ku 新西河水库
'xin'xing'jiang 新兴江
'xin'xing'xian 新兴县
'xin'xu 新圩
'xin'yi'shi 信宜市
'xin'yi'xian 信宜县
'xin'yong 新涌
'xin'zhai 新寨
'xing'feng 星丰
'xing'fu'shui'ku 幸福水库
'xing'hu'shui'ku 星湖水库
'xing'ning'shi 兴宁市
'xing'ning'xian 兴宁县
'xiu'cai'shan 秀才山
'xiu'cai'shan'shui'ku 秀才山水库
'xiu'jiang 绣江
'xu'cun 徐村
'xu'ning 絮凝
'xu'shui'bian'liang 蓄水变量
'xu'shui'liang 蓄水量
'xu'shui'liang'fang'cheng 蓄水量方程
'xu'shui'xi'shu 蓄水系数
'xu'wen 徐闻
'xu'wen'xian 徐闻县
'xu'yang'liang 需氧量
'xuan'bei'shi 旋杯式
'xuan'gan'lan'dao 悬杆缆道
'xuan'he 悬河
'xuan'jiang'shi 旋桨式
'xuan'yi'zhi 悬移质
'xue'dou 学斗
'xue'tang'ao 学塘凹
'xun'ce 巡测
'xun'wang 寻王
'xun'wu 寻邬
'xun'wu'he 寻乌河
'xun'zhou 浔洲
'ya'po'miao 亚婆庙
'ya'qian 衙前
'ya'que'sou 鸦鹊薮
'ya'shan'jiang 亚山江
'yan'cheng 沿程
'yan'du 盐度
'yan'gao 堰高
'yan'hu 盐湖
'yan'keng 眼坑
'yan'liang 盐量
'yan'liu 堰流
'yan'nei 晏内
'yan'qian'shui'ku 岩前水库
'yan'qin 盐侵
'yan'rong'he'liu 岩溶河流
'yan'rong'shui 岩溶水
'yan'rong'shui'wen'xue 岩溶水文学
'yan'shang 岩上
'yan'shui'fen'jie'mian 盐水分界面
'yan'shui'ru'qin 盐水入侵
'yan'shui'xie 盐水楔
'yan'ti 堰体
'yan'tian 雁田
'yan'tian'qu 盐田区
'yan'tian'shui'ku 雁田水库
'yan'xia 岩下
'yan'yue'ceng 盐跃层
'yan'zha 堰闸
'yan'zhuang 岩庄
'yan'zhuang'shui'ku 岩庄水库
'yang'chun'shi 阳春市
'yang'chun'xian 阳春县
'yang'di'po 秧地坡
'yang'dong'shan 杨东山
'yang'dong'xian 阳东县
'yang'er 洋耳
'yang'gao 羊高
'yang'jia'fang 杨家坊
'yang'jiang'shi 阳江市
'yang'keng 杨坑
'yang'mei'he 杨梅河
'yang'mei'ping 杨梅坪
'yang'mei'shui'ku 杨梅水库
'yang'mian'wo 杨面窝
'yang'qi 杨旗
'yang'qing 洋青
'yang'shan'xian 阳山县
'yang'tan 洋潭
'yang'tou 洋头
'yang'xi 杨溪
'yang'xi'he 洋溪河
'yang'xi'xian 阳西县
'yao'bei 窑陂
'yao'bu'xu 遥步圩
'yao'gu 腰古
'yao'ling 瑶岭
'yao'wei 瑶尾
'ye'gen'dong 叶根垌
'ye'keng 叶坑
'ye'tan 叶潭
'ye'ya'tang 野鸭塘
'yi'chang'he 义昌河
'yi'he 义合
'yi'rong 义容
'yi'rong'he 义容河
'yi'tang'shui'ku 益塘水库
'yi'xian 逸仙
'yi'zhang 宜章
'yin'chao'li 引潮力
'yin'dong 隐洞
'yin'jiang 银江
'yin'zhan 银盏
'yin'zhan'shui'ku 银盏水库
'ying'de'liu'kuang'shan 英德硫矿山
'ying'de'shi 英德市
'ying'de'xian 英德县
'ying'ge'ju 莺哥咀
'ying'gong'dong 英公洞
'ying'ju 迎咀
'ying'ju'shui'ku 迎咀水库
'ying'qiao 英桥
'ying'shan 应山
'ying'shui'he 赢水河
'ying'shui'he 盈水河
'ying'ya 英雅
'ying'yong'shui'wen'xue 应用水文学
'yong'chao 涌潮
'yong'ding'he 永定河
'yong'han 永汉
'yong'jiu'ce'zhan 永久测站
'yong'shi'er'dui 勇士二队
'yong'shui 壅水
'yong'shui'qu'xian 壅水曲线
'you'luo'kou'shui'ku 油罗口水库
'you'pu 油铺
'you'xiao'jiang'yu 有效降雨
'you'yi'he 友谊河
'you'yu'wan 鱿鱼湾
'yu'chong 裕冲
'yu'jia'zhuang 余家庄
'yu'ju 鱼咀
'yu'keng'du 芋坑肚
'yu'lao 渔涝
'yu'lao'he 渔涝河
'yu'liang'ji 雨量计
'yu'liang'qi 雨量器
'yu'liang'tan 渔粮滩
'yu'liang'zhan 雨量站
'yu'nan 郁南
'yu'nan'xian 郁南县
'yu'qing'qiao 余庆桥
'yu'qing'qiao'shui'ku 余庆桥水库
'yu'shan 鱼山
'yu'shan'shui'ku 鱼山水库
'yu'xiang 玉香
'yuan'cheng'qu 源城区
'yuan'dun'he 圆墩河
'yuan'dun'xia 圆墩下
'yuan'tan 源潭
'yuan'tang 源塘
'yue'chang 约场
'yue'cheng 岳城
'yue'cheng 悦城
'yue'cheng'he 悦城河
'yue'guang'du 月光渡
'yue'hu'tan 岳湖潭
'yue'jin'shui'ku 跃进水库
'yue'liu 越流
'yue'liu'xi'shu 越流系数
'yue'ping 月坪
'yue'wen'ceng 跃温层
'yue'xiu'qu 越秀区
'yun'an'xian 云安县
'yun'bu 云步
'yun'cheng'qu 云城区
'yun'fu'shi 云浮市
'yun'guang'zhai 云光寨
'yun'li 云丽
'yun'lou 云楼
'yun'lou'gang 云楼岗
'yun'shan'li 云山里
'yun'xiao'shui'ku 云霄水库
'zai'cun 仔村
'zao'he'dong 早禾洞
'zao'xian 造贤
'ze'lian 泽联
'zeng'cheng'shi 增城市
'zeng'cheng'xian 增城县
'zeng'cheng'xin'tang 增城新塘
'zeng'jia 曾家
'zeng'jiang 增江
'zeng'keng 增坑
'zeng'tang 增塘
'zeng'tang'shui'ku 增塘水库
'zhai'bian 寨边
'zhai'gang 寨岗
'zhan'jiang'gang 湛江港
'zhan'jiang'shi 湛江市
'zhang'bei 樟北
'zhang'gong'long 张公龙
'zhang'gong'long'shui'ku 张公龙水库
'zhang'hong'duan 涨洪段
'zhang'jia'bao 张家堡
'zhang'jiang 漳江
'zhang'jiang 章江
'zhang'jiao 长角
'zhang'jiao 嶂角
'zhang'jiao'shui'ku 长角水库
'zhang'mu'tou 樟木头
'zhang'tian 樟田
'zhang'xi 樟溪
'zhang'xia 嶂下
'zhao'di 沼地
'zhao'pai'tan 爪排潭
'zhao'qing'shi 肇庆市
'zhao'yang'shui'ku 朝阳水库
'zhao'yuan 招元
'zhao'yuan'shui'ku 招元水库
'zhe'jiang'he 浙江河
'zhe'lang'jiao 遮浪角
'zhen'an 镇安
'zhen'bei 镇北
'zhen'bei'shui'ku 镇北水库
'zhen'gang 镇岗
'zhen'gang'he 镇岗河
'zhen'guang'ceng 真光层
'zhen'hai'shui 镇海水
'zhen'hai'shui'ku 镇海水库
'zhen'hai'shui'qu 镇海水渠
'zhen'jiang 浈江
'zhen'jiang'qu 浈江区
'zhen'shui 浈水
'zhen'tian 镇田
'zhen'wan 浈湾
'zheng'chang'nian 正常年
'zheng'fa'ji'hui 蒸发机会
'zheng'fa'lv 蒸发率
'zheng'fa'qiang'du 蒸发强度
'zheng'fa'zhan 蒸发站
'zheng'keng 正坑
'zheng'san 蒸散
'zheng'san'fa'liang 蒸散发量
'zhi'hou'shi'jian 滞后时间
'zhi'jie'jing'liu 直接径流
'zhi'liu'liang 滞流量
'zhi'liu'shi'jian 滞留时间
'zhi'man 志满
'zhi'man'shui'ku 志满水库
'zhi'shui 滞水
'zhong'bu'pai'shui'qu 中部排水渠
'zhong'chao 中潮
'zhong'dong 中洞
'zhong'gang 中岗
'zhong'he 中河
'zhong'hong 中泓
'zhong'hong'xian 中泓线
'zhong'jian'tang 中间塘
'zhong'luo 中罗
'zhong'ping 中坪
'zhong'ping'shui'ku 中坪水库
'zhong'shui 钟水
'zhong'xin 忠信
'zhong'xin'ba 中心坝
'zhong'xin'cun 中心村
'zhong'xin'shui 忠信水
'zhong'zheng 中正
'zhong'zhou 中洲
'zhong'zhou'he 中州河
'zhong'zhou'he 中洲河
'zhou'fa'hong'shui 骤发洪水
'zhou'fa'xing'he'liu 骤发性河流
'zhou'jiang 周江
'zhou'jun 周郡
'zhou'keng 周坑
'zhou'rui 洲瑞
'zhou'zai'wei 洲仔围
'zhou'zhuan'lv 周转率
'zhou'zhuan'shi'jian 周转时间
'zhu'bo 驻波
'zhu'cao 主槽
'zhu'ce 驻测
'zhu'gan'shan 竹竿山
'zhu'hai'shi 珠海市
'zhu'jiang'san'jiao'zhou 珠江三角洲
'zhu'keng 珠坑
'zhu'lu'keng'shui'ku 猪碌坑水库
'zhu'mu'ling 猪母岭
'zhu'mu'tan 猪姆潭
'zhu'na'tan 猪乸潭
'zhu'na'tan'shui'ku 猪乸潭水库
'zhu'ping 竹坪
'zhu'ping'sha 朱平沙
'zhu'shi 祝石
'zhu'shui'wen'zhan 主水文站
'zhu'shui'xi'shu 贮水系数
'zhu'tian 主田
'zhu'xian'dong 竹仙洞
'zhu'yin 竹银
'zhu'zai'lin 竹仔林
'zhu'zhou 祝州
'zhu'zhou 竹洲
'zhuan'shui 转水
'zhuan'yong'shui'wen'zhan 专用水文站
'zhuo'shui'he 浊水河
'zhuo'tian 濯田
'zi'dong 紫洞
'zi'ji 自记
'zi'ji'shui'wei'ji 自记水位计
'zi'jin'xian 紫金县
'zi'ni 紫坭
'zi'ni'he 紫坭河
'zi'ran'di 自然堤
'zi'yu'hu 滋育湖
'zi'zhu'lin 紫竹林
'zong'duan'mian 纵断面
'zong'he'guo'cheng'xian 综合过程线
'zong'jing'liu'shen 总径流深
'zong'pou'mian 纵剖面
'zong'xu'yang'liang 总需氧量
'zong'zheng'fa'liang 总蒸发量
'zou'ma'gang 走马岗
'zu'zhi'shui'liu 阻滞水流
'zui'da'shun'shi 最大瞬时
'zui'gao'hong'shui'wei 最高洪水位
'zui'shen'gu'di'xian 最深谷底线
'zuo'gan'qu 左干渠
'zuo'gang 佐岗
'zuo'keng 佐坑
'zuo'tan 左潭
