'a'er'ji'li'ya 阿尔及利亚
'xiao'bai'ling 小白铃
'xiao'bi'dao 削笔刀
'xiao'bo 小檗
'xiao'cang'lan 小仓兰
'xiao'chou'jie'di'hua 小丑姐弟花
'xiao'chou'li'wu 小丑礼物
'xiao'chou'mao 小丑帽
'xiao'chou'mei'gui 小丑玫瑰
'xiao'chou'mian'tiao'shu 小丑面条树
'xiao'chou'tan'huang'cao 小丑弹簧草
'xiao'chu'ju 小雏菊
'xiao'deng'long'guo 小灯笼果
'xiao'feng'gua 小凤瓜
'xiao'hong'hua 小红花
'xiao'hua'xiang'huai 小花香槐
'xiao'lan'hua 小蓝花
'xiao'li'hua 小丽花
'xiao'lu'dou 小露兜
'xiao'luo'bo'tou 小萝卜头
'xiao'mai 小麦
'xiao'san'gu 小伞菇
'xiao'sun'jian 小笋尖
'xiao'xian'hua 小仙花
'xiao'xiao'teng'hui 逍霄藤卉
'xiao'xuan'hua 小旋花
'xiao'ye'hua 笑靥花
'xiao'yu'er 小玉儿
'xiao'yu'mei 小虞美
'xiao'yuan'wei 肖鸢尾
'xie'e'shan'dian 邪恶闪电
'xie'guo'yuan'er'cao 斜果圆耳草
'xin'de'la'zhi'lian 辛德拉之恋
'xin'dong'tiao'tiao'biao'qing 心动跳跳表情
'xin'he'bao 心荷包
'xin'lang'zuan'jie 新郎钻戒
'xin'mao'di'huang 新毛地黄
'xin'nian'deng'long'shu 新年灯笼树
'xin'niang'zuan'jie 新娘钻戒
'xin'suo 心锁
'xin'xiang'yin 心相印
'xin'xin'xiang'rong 欣欣向荣
'xin'yao'shi 心钥匙
'xin'ye'hua 馨叶花
'xin'ye'su'xin 心叶素馨
'xing'dian'gu 星点菇
'xing'fu 幸福
'xing'fu'cai'dan'guo 幸福彩蛋果
'xing'fu'jin'ju 幸福金桔
'xing'fu'ke'ke'dou 幸福可可豆
'xing'fu'ping'an'guo 幸福平安果
'xing'fu'yuan'bao 杏福元宝
'xing'he'shu 星河树
'xing'xiao'man'tian 星霄漫天
'xing'xing'sheng'dan'shu 星星圣诞树
'xing'yun'dou 幸运豆
'xing'yun'guo 星云果
'xing'yun'shu'zi 幸运数字
'xing'yun'xiang'bao 幸运香包
'xing'zhi'yuan 星之愿
'xing'zi 杏子
'xiong'di'la'jiao 兄弟辣椒
'xiong'huang'ai'cao 雄黄艾草
'xiong'tong'zi 熊童子
'xiu'luo'dao 修罗刀
'xu'yuan'guo 许愿果
'xu'yuan'shu 许愿树
'xuan'cao 萱草
'xuan'li'kui'hua 绚丽葵花
'xuan'wu'cui'can 炫舞璀璨
'xuan'wu'zhi'xing 炫舞之星
'xuan'yin'hua 炫音花
'xuan'yun'guo 眩晕果
'xuan'yun'long'juan'feng 眩晕龙卷风
'xue'bao'hua 雪宝花
'xue'di'hua 雪滴花
'xue'gen'cao 血根草
'xue'mei 雪梅
'xue'qiu'bai'he 雪球百合
'xue'ren 雪人
'xue'ren'ka 雪人卡
'xun'lu'ka 驯鹿卡
'xun'xian'ba'gua'hu'lu 寻仙八卦葫芦
'xun'xian'xue'ning'guo 寻仙雪凝果
'xun'yi'cao 薰衣草
'ya'lan'die'wu 雅兰蝶舞
'ya'li'xiao'zi 鸭梨小子
'ya'yue'zhi'wu 雅乐之舞
'yan'bai'cai 岩白菜
'yan'die'lan 艳蝶兰
'yan'hu'suo 延胡索
'yan'lan 焰兰
'yan'sheng'du'suan'lan 岩生独蒜兰
'yan'zhi'hua 胭脂花
'yan'zi'zhang 燕子掌
'yang'cha 洋茶
'yang'cong 洋葱
'yang'guang'kui 阳光葵
'yang'guang'nan'gua'tan 阳光南瓜坛
'yang'jiao'qi 羊角槭
'yang'jie'geng 洋桔梗
'yang'lin'feng'wei 样麟凤尾
'yang'liu 杨柳
'yang'mei 杨梅
'yang'nai'zi 羊奶子
'yang'ru'hua 羊乳花
'yang'tao 杨桃
'yang'zi'jing 洋紫荆
'yao'guo'li 腰果梨
'yao'qian'shu 摇钱树
'ye'cai'bao'bao 椰菜宝宝
'ye'dian'zhi'wang'hua 夜店之王花
'ye'he'hua 夜合花
'ye'lai'xiang 夜来香
'ye'qiu'shu 叶球树
'ye'zi 椰子
'yi'da'li 意大利
'yi'dian'hong 一点红
'yi'huo'biao'qing 疑惑表情
'yi'lang 伊朗
'yi'mi'hua 依米花
'yi'mu'cao 益母草
'yi'tian'sheng'huo'ling 倚天圣火令
'yi'xing'bai'ye'qiang'wei 一星百叶蔷薇
'yi'xing'bai'yu'ni 一星白玉霓
'yi'xing'ding'xiang'shui'xian 一星丁香水仙
'yi'xing'ge'jin'zi 一星葛巾紫
'yi'xing'he'hua'qiang'wei 一星荷花蔷薇
'yi'xing'hong'fu'shi 一星红富士
'yi'xing'ju'feng'pu'tao 一星巨峰葡萄
'yi'xing'juan'dan'bai'he 一星卷丹百合
'yi'xing'la'ba'shui'xian 一星喇叭水仙
'yi'xing'lv'rong'hao 一星绿绒蒿
'yi'xing'qin'jiao 一星秦椒
'yi'xing'shen'yang'jin'mu'dan 一星什样锦牡丹
'yi'xing'shu'sheng'peng'mo 一星书生捧墨
'yi'xing'wei'qun'shui'xian 一星围裙水仙
'yi'xing'wu'cai'jiao 一星五彩椒
'yi'xing'xiang'shui'bai'he 一星香水百合
'yi'xiu'shi'nian 一秀十年
'yin'bian'cui 银边翠
'yin'du'xiang'shu 印度橡树
'yin'lian'hua 银莲花
'yin'lu'hua'sheng 银鹭花生
'yin'pai'zhi'yao 银牌之耀
'yin'se'yuan'xing'qiu'chang 银色圆型球场
'yin'shu'shi'jie 银树世界
'yin'su'tian'shi'guo 音速天使果
'yin'su'xing'yu 音速星语
'yin'xin'shu 印心树
'yin'xing'hai'tang 银星海棠
'yin'xing'ma'ti'lian 银星马蹄莲
'yin'xing'shu'miao 银杏树苗
'yin'xue'sheng'dan'shu 银雪圣诞树
'yin'yue'ai'li'si 音乐爱丽丝
'ying'chun'hua 迎春花
'ying'chun'tao'hua 迎春桃花
'ying'ge'lan 英格兰
'ying'guang'sheng'dan'shu 荧光圣诞树
'ying'guang'zhu'long'cao 荧光猪笼草
'ying'guo'mei'gui 英国玫瑰
'ying'shan'hong 映山红
'ying'tao 樱桃
'ying'tao'xiong'di 樱桃兄弟
'ying'xiong'da'xiang 英雄大象
'ying'yang'bao'chun 迎阳报春
'ying'zui'dou 鹰嘴豆
'yong'heng'kang'nai'xin 永恒康乃馨
'you'cai 油菜
'you'fu'yang'tao 有福杨桃
'you'gu'wan'xiang'yu 幽谷晚香玉
'you'ji'bai'luo'bo 有机白萝卜
'you'ji'ping'guo 有机苹果
'you'xiang'he'hua'huan 幽香合花环
'you'yi'kang'nai'xin 友谊康乃馨
'you'yi'zhi'hua 友谊之花
'you'yong 游泳
'you'you'wan'sheng'shu 幽幽万圣树
'you'yu'kuai'zi 忧郁筷子
'you'zi 柚子
'you'zi'da'pang 柚子大胖
'yu'jie'lan 玉洁兰
'yu'jin 郁金
'yu'jin'xiang 郁金香
'yu'long'di'wang'hun 御龙帝王魂
'yu'mao'qiu 羽毛球
'yu'mei'ren 虞美人
'yu'men'biao'qing 郁闷表情
'yu'mi 玉米
'yu'mi'bai'he 玉米百合
'yu'mi'bei'bei 玉米贝贝
'yu'mi'jun 玉米君
'yu'ren'jie'xiao'chou 愚人节小丑
'yu'shi'dan 玉石诞
'yu'shi'pu'tao 玉石葡萄
'yu'tu'yuan'yue 玉兔圆月
'yu'wei'cha 鱼尾茶
'yu'xiang'hua 玉香花
'yu'yi'gan'lan 羽衣甘蓝
'yu'zhi'lan 玉指兰
'yu'zhu'hui 玉珠汇
'yuan'dan'ka 元旦卡
'yuan'gui 圆规
'yuan'hua 芫花
'yuan'qie 圆茄
'yuan'she'xiang 猿麝香
'yuan'wei'qiao'ke'li 鸢尾巧克力
'yuan'xin'guo 缘心果
'yuan'ye'bao'chun 圆叶报春
'yuan'ye'feng'ling'cao 圆叶风铃草
'yuan'yi 园艺
'yuan'yi'ai 园艺爱
'yuan'yi'bao'long 园艺暴龙
'yuan'yi'chang'jing'lu 园艺长颈鹿
'yuan'yi'da'xiang 园艺大象
'yuan'yi'du'jiao'shou 园艺独角兽
'yuan'yi'hai'tun 园艺海豚
'yuan'yi'jie'zhi 园艺戒指
'yuan'yi'jing'yu 园艺鲸鱼
'yuan'yi'kong'jian'wu'jiao'xing 园艺空间五角星
'yuan'yi'kong'que 园艺孔雀
'yuan'yi'mei'gui'hua'shu 园艺玫瑰花束
'yuan'yi'mi'lu 园艺麋鹿
'yuan'yi'nan'gua 园艺南瓜
'yuan'yi'ni 园艺你
'yuan'yi'qiao'ke'li 园艺巧克力
'yuan'yi'sheng 园艺生
'yuan'yi'shi 园艺世
'yuan'yi'tian'e 园艺天鹅
'yuan'yi'tu'zi 园艺兔子
'yuan'yi'xin'xiang'yin 园艺心相印
'yuan'yi'xiong'mao 园艺熊猫
'yuan'yi'zhang'yu 园艺章鱼
'yue'guang'cheng'bao 月光城堡
'yue'guang'hua 月光花
'yue'gui'hua 月桂花
'yue'huo'lv'zhi'wa'wa 悦活绿植娃娃
'yue'ji'hua 月季花
'yue'liang'guo 月亮果
'yue'shi 月柿
'yue'tu'er 月兔耳
'yue'xian'cao 月苋草
'yue'yan 月宴
'yun'dou 芸豆
'yun'duo'cui'pi 云朵脆皮
'yun'hong'duo 云红朵
'yun'nan'huang'xin 云南黄馨
'yun'nan'ying'hua 云南樱花
'yun'tui'yue'bing'gu 云腿月饼菇
'yun'xiao'jin'lian 云霄金莲
'yun'xing'xia'wei 云兴霞蔚
'zang'hong'hua 藏红花
'zao'ying 早樱
'zhan'di'guo 战地果
'zhan'di'zhi'xing 战地之星
'zhan'ye'feng'xian'hua 展叶凤仙花
'zhang'da'xian 掌大仙
'zhang'yu'lan 章鱼兰
'zhe'da'lang 蔗大郎
'zhen'ai'guo 臻爱果
'zhen'ai'jin'gua 珍爱金瓜
'zhen'dian'hua 针垫花
'zhen'wang'wu'feng'jian 真王无锋剑
'zhen'zhu'lan 珍珠兰
'zhen'zhu'mei 珍珠梅
'zhen'zi 榛子
'zheng'gu'jie'mo 整蛊芥末
'zheng'gu'zha'dan 整蛊炸弹
'zheng'zhao'ling 征召令
'zhi'jia'lan 指甲兰
'zhi'li 智利
'zhi'ma 芝麻
'zhi'zao'niu 制造牛
'zhi'zi'hua 栀子花
'zhong'hua'bao'chun 钟花报春
'zhu'ding'hong 朱顶红
'zhu'ge'cai 诸葛菜
'zhu'hua'e'ju 朱花萼距
'zhu'long'cao 猪笼草
'zhu'que'hua 朱雀花
'zhu'que'zhao'yang 朱雀朝阳
'zhu'sha'gen 朱砂根
'zhu'sheng'du'juan 著生杜鹃
'zhu'sun 竹笋
'zhu'sun 竹荪
'zhu'ya'hua 猪牙花
'zhu'yu 茱萸
'zhuo'xiu'ling'xiao'hua'huan 擢秀凌霄花环
'zi'ban'lan 紫斑兰
'zi'ban'mu'dan 紫斑牡丹
'zi'bao 子宝
'zi'bian'dou 紫扁豆
'zi'bian'yun 紫边云
'zi'cao 紫草
'zi'die'lan 紫蝶兰
'zi'hu'lu 紫葫芦
'zi'hua'di'ding 紫花地丁
'zi'jiao'hua 紫娇花
'zi'luo'lan 紫罗兰
'zi'mo'li 紫茉莉
'zi'qiu'hua 紫球花
'zi'se'ping'zi'cao 紫色瓶子草
'zi'se'xiang'mo 紫色香蘑
'zi'su 紫苏
'zi'wan 紫菀
'zi'wei 紫薇
'zi'xiao'bao'lan 紫霄宝兰
'zi'xuan'yue 紫玄月
'zi'ya'zhi'cao 紫鸭跖草
'zi'yao'shan'hu 紫妖珊瑚
'zi'ye'zuo'jiang'cao 紫叶酢浆草
'zi'ying'hua 紫盈花
'zi'you 自由
'zi'you'huan'xiang'guo 自由幻想果
'zi'yu'lan 紫玉兰
'zi'yun'cao 紫云草
'zi'zhen'zhu 紫珍珠
'zi'zhu 紫珠
'zi'zhu'sheng'dan'shu 紫珠圣诞树
'zong'xiang'guo 粽香果
'zu'qiu 足球
'zui'chan'guo 嘴馋果
'zui'die'hua 醉蝶花
