'a'da'pa'lin 阿达帕林
'huai'si'zeng'sheng'xing'lin'ba'jie'bing 坏死增生性淋巴结病
'huai'xue'bing 坏血病
'huan'bi'tong'an 环吡酮胺
'huan'bian'tao'zhi 环扁桃酯
'huan'bing'sha'xing 环丙沙星
'huan'bing'yun'tong 环丙孕酮
'huan'duo'ba 环多巴
'huan'lin'xian'an 环磷酰胺
'huan'su 环素
'huan'wen'fa 环纹发
'huan'xing'ran'se'ti'zong'he'zheng 环形染色体综合症
'huan'yang'he'mei 环氧合酶
'huan'yang'hua'mei 环氧化酶
'huan'ying'gu 幻影骨
'huan'zhuang'bian'ping'tai'xian 环状扁平苔藓
'huan'zhuang'kui'lan'xing'bao'pi'gui'tou'yan 环状溃烂性包皮龟头炎
'huan'zhuang'nong'pao'chuang 环状脓疱疮
'huan'zhuang'qing'ban 环状青斑
'huan'zhuang'rou'ya'zhong 环状肉芽肿
'huan'zhuang'yin'xie'bing 环状银屑病
'huan'zhuang'zhi'fang'wei'suo 环状脂肪萎缩
'huang'an'jia'e'zuo 磺胺甲恶唑
'huang'an'jia'yang'mi'ding 磺胺甲氧嘧啶
'huang'an'jian'jia'yang'mi'ding 磺胺间甲氧嘧啶
'huang'an'mi'ding 磺胺嘧啶
'huang'an'mi'ding'yin 磺胺嘧啶银
'huang'bian'xi'lin 磺苄西林
'huang'diao'yu'ji'zhang'yu'yao'shang 黄貂鱼及章鱼咬伤
'huang'he'ban 黄褐斑
'huang'he'she'ke 黄颌蛇科
'huang'jia 黄甲
'huang'jia'zong'he'zheng 黄甲综合征
'huang'jia'zong'he'zheng 黄甲综合症
'huang'liu'bing 黄瘤病
'huang'se'bang'zhuang'gan'jun 黄色棒状杆菌
'huang'ti'tong 黄体酮
'hui'chong'bing 蛔虫病
'hui'fa 灰发
'hui'huang'qing'mei'su'jun 灰黄青霉素菌
'hui'jia 灰甲
'hui'ni'jiao'hua'bing 灰泥角化病
'hui'pi'fu'bing 灰皮肤病
'hui'zhuang'dan'chun'hong'ban 回状单纯红斑
'hui'zhuang'lu'pi 回状颅皮
'hui'zhuang'yin'xie'bing 回状银屑病
'hun'he'xing'jie'di'zu'zhi'bing 混合性结缔组织病
'hun'he'xing'xia'gan 混合性下疳
'hun'he'zhi 混合痣
'huo'de'xing'chuan'tong'xing'zu'bu'kui'yang 获得性穿通性足部溃疡
'huo'de'xing'da'pao'xing'biao'pi'song'jie'zheng 获得性大疱性表皮松解症
'huo'de'xing'dong'jing'mai'wen'he'zheng 获得性动静脉吻合症
'huo'de'xing'fan'ying'xing'chuan'tong'xing'jiao'yuan'bing 获得性反应性穿通性胶原病
'huo'de'xing'gan'jue'shen'jing'gen'bing 获得性感觉神经根病
'huo'de'xing'wei'suo'xing'wu'jia 获得性萎缩性无甲
'huo'de'xing'yu'lin'bing 获得性鱼鳞病
'huo'ji'hong'ban 火激红斑
'huo'mian'jiao'ji 火棉胶剂
'huo'yan'xiang 火焰像
'ji'bing'kong'bu 疾病恐怖
'ji'di'ban 基底板
'ji'di'lin'zhuang'xi'bao'liu 基底鳞状细胞瘤
'ji'di'xi'bao'liu 基底细胞瘤
'ji'di'xi'bao'shang'pi'ai 基底细胞上皮癌
'ji'di'xi'bao'shang'pi'liu 基底细胞上皮瘤
'ji'dong'dan'bai 肌动蛋白
'ji'duan'ying'pi'bing 肌端硬皮病
'ji'fa'xing'ban'zhuang'wei'suo 继发性斑状萎缩
'ji'fa'xing'sun'hai 既发性损害
'ji'fa'xing'wang'zhuang'qing'ban 继发性网状青斑
'ji'guang 激光
'ji'guang'sun'shang 激光损伤
'ji'hai'fan'ying 吉海反应
'ji'he'tu'xing'qin'shi'kui'yang 几何图形侵蚀溃疡
'ji'jie'xing'jie'chu'xing'pi'yan 季节性接触性皮炎
'ji'ke'feng'tuan'shi'yan 即刻风团试验
'ji'luo'ci'ji'yin'zi 集落刺激因子
'ji'mei 激酶
'ji'nai'ren'jie'jie 挤奶人结节
'ji'nei'ya'xian'chong'bing 几内亚线虫病
'ji'qiu'you'bing 棘球蚴病
'ji'shang'pi'dao 肌上皮岛
'ji'sheng'chong'bing'wang'xiang 寄生虫病妄想
'ji'sheng'chong'kong'bu 寄生虫恐怖
'ji'sheng'xing'se'su'que'fa 寄生性色素缺乏
'ji'suan'ji'mei 肌酸肌酶
'ji'sui'hui'zhi'yan'bing'du 脊髓灰质炎病毒
'ji'sui'kong'dong'zheng 脊髓空洞症
'ji'ta'mei'su 吉他霉素
'ji'tu'song'jie'xing'ji'pi'liu 棘突松解性棘皮瘤
'ji'wei'suo'xing'ce'suo'ying'hua'zheng 肌萎缩性侧索硬化症
'ji'xi'ci'fen 己烯雌酚
'ji'xie'xing'zi'dian 机械性紫癜
'ji'xing'biao'pi'huai'si'song'jie'zheng 急性表皮坏死松解症
'ji'xing'dou'chuang'yang'tai'xian'zhuang'kang'zhen 急性痘疮样苔藓状糠疹
'ji'xing'duo'fa'xing'shen'jing'yan 急性多发性神经炎
'ji'xing'fa're'xing'shi'zhong'xing'pi'bing 急性发热性嗜中性皮病
'ji'xing'fa'zhen'xing'nong'pao'bing 急性发疹性脓疱病
'ji'xing'fan'fa'xing'bian'ping'tai'xian 急性泛发性扁平苔藓
'ji'xing'fan'fa'xing'nong'pao'xing'xi'jun'zhen 急性泛发性脓疱性细菌疹
'ji'xing'guang'xian'xing'chun'yan 急性光线性唇炎
'ji'xing'huai'si'xing'ya'yin'yan 急性坏死性牙龈炎
'ji'xing'jian'xie'xing'bu'lin'zheng 急性间歇性卟啉症
'ji'xing'kui'yang'xing'ya'yin'yan 急性溃疡性牙龈炎
'ji'xing'nv'yin'kui'yang 急性女阴溃疡
'ji'xing'pi'fu'hong'ban'lang'chuang 急性皮肤红斑狼疮
'ji'xing'qian'biao'xing'bao'pi'gui'tou'yan 急性浅表性包皮龟头炎
'ji'yan 鸡眼
'ji'yin'zhi'liao 基因治疗
'ji'zhi 基质
'ji'zhu'rong'he'que'xian 脊柱融合缺陷
'ji'zhuang'jiao'hua'bing 棘状角化病
'ji'zhuang'mao'nang'jiao'hua'bing 棘状毛囊角化病
'jia'an'die'ling 甲氨蝶呤
'jia'an'die'ling 甲胺蝶呤
'jia'ao'dian 甲凹点
'jia'bin'gu'zhou'zong'he'zheng 甲髌骨肘综合征
'jia'bin'gu'zong'he'zheng 甲髌骨综合征
'jia'bin'zong'he'zheng 甲髌综合征
'jia'bing'an'zhi 甲丙氨酯
'jia'ceng'lie 甲层裂
'jia'cheng'hua'he'wu 加成化合物
'jia'chong'pi'yan 甲虫皮炎
'jia'chuang'fei'hou'zheng 甲床肥厚症
'jia'fan'xiang'nu'rou 甲反向胬肉
'jia'fei'da 甲肥大
'jia'fei'hou 甲肥厚
'jia'fen 甲酚
'jia'fen'li 甲分离
'jia'fen'lie 甲分裂
'jia'feng'mei'su 甲砜霉素
'jia'gao'tong'huo'bing'gao'tong 甲睾酮或丙睾酮
'jia'gou'yan 甲沟炎
'jia'guo'du'wan'qu 甲过度弯曲
'jia'heng'gou 甲横沟
'jia'ji'xian'wei'su 甲基纤维素
'jia'jie'he'shu'yi'jun 假结核鼠疫菌
'jia'mu'zhi 甲母痣
'jia'niu'dou 假牛痘
'jia'nu'rou 甲胬肉
'jia'po'ni'long 甲泼尼龙
'jia'po'ni'long'yi'suan'zhi 甲泼尼龙乙酸酯
'jia'quan'rong'ye 甲醛溶液
'jia'song'li 甲松离
'jia'tuo'luo 甲脱落
'jia'wei'suo 甲萎缩
'jia'wen 甲纹
'jia'xia'jiao'hua'bing 甲下角化病
'jia'xia'nu'rou 甲下胬肉
'jia'xia'zhong'liu 甲下肿瘤
'jia'xian'yang'lin'zhuang'xi'bao'ai 假腺样鳞状细胞癌
'jia'xiao'zuo 甲硝唑
'jia'xing'ban'tu 假性斑秃
'jia'xing'gan'yan'pi'fu'biao'xian 甲型肝炎皮肤表现
'jia'xing'mao'nang'jiao'hua'bu'liang'bing 假性毛囊角化不良病
'jia'xuan'jia'zhen'jun'bing 甲癣甲真菌病
'jia'yang'mi'ding 甲氧嘧啶
'jia'yi'zhuang'nu'rou 甲翼状胬肉
'jia'ying'yang'bu'liang 甲营养不良
'jia'zhong'xian'ying'yang'bu'liang 甲中线营养不良
'jia'zhou'zhong'liu 甲周肿瘤
'jia'zhuang'pang'xian'ji'su 甲状旁腺激素
'jia'zhuang'she'gu'nang'zhong'ji'dou'dao 甲状舌骨囊肿及窦道
'jia'zhuang'xian'ci'ji'mian'yi'qiu'dan'bai 甲状腺刺激免疫球蛋白
'jia'zhuang'xian'ji'neng'di'xia'ju'she 甲状腺机能底下巨舌
'jia'zhuang'xian'xing'chu'zhuang'zhi 甲状腺性杵状指
'jia'zi 甲紫
'jia'zong'gou 甲纵沟
'jia'zong'ji 甲纵嵴
'jia'zu'xing'bai'se'nian'mo'zhou'bi'fa'yu'bu'liang 家族性白色粘膜皱襞发育不良
'jia'zu'xing'di'zhong'hai're 家族性地中海热
'jia'zu'xing'gao'gu'chun'xue'zheng'huang'liu'bing 家族性高固醇血症黄瘤病
'jia'zu'xing'gao'ru'mi'wei'li'xue'zheng 家族性高乳糜微粒血症
'jia'zu'xing'huan'zhuang'hong'ban 家族性环状红斑
'jia'zu'xing'jin'xing'xing'ba'su'guo'du'chen'zhuo'zheng 家族性进行性钯素过度沉着症
'jia'zu'xing'kuang'zhou'se'su'guo'du'chen'zhuo'zheng 家族性眶周色素过度沉着症
'jia'zu'xing'leng'xun'ma'zhen 家族性冷荨麻疹
'jia'zu'xing'liang'xing'man'xing'tian'pao'chuang 家族性良性慢性天疱疮
'jia'zu'xing'nian'mo'bai'se'zhou'zhe'xing'fa'yu'bu'liang 家族性粘膜白色皱褶性发育不良
'jia'zu'xing'pi'fu'ruan'gu'jiao'mo'ying'yang'bu'liang 家族性皮肤软骨角膜营养不良
'jia'zu'xing'qu'hua'xing'que'xian 家族性趋化性缺陷
'jia'zu'xing'quan'gu'sui'zai'sheng'zhang'ai 家族性全骨髓再生障碍
'jia'zu'xing'quan'xue'xi'bao'jian'shao 家族性全血细胞减少
'jia'zu'xing'shi'ge'xi'bao'liu'bing 家族性嗜铬细胞瘤病
'jia'zu'xing'zao'xing'mian'bu'pi'fu'fa'yu'bu'liang 家族性灶性面部皮肤发育不良
'jia'zu'xing'zhang'zhi'jiao'hua'guo'du'zheng 家族性掌跖角化过度症
'jia'zu'xing'zi'zhu'shen'jing'ji'neng'yi'chang 家族性自主神经机能异常
'jian'ben'er'fen 间苯二酚
'jian'ge'xing'zhi'mo'yan 间隔性脂膜炎
'jian'huang'liu 睑黄瘤
'jian'huang'liu 腱黄瘤
'jian'jia'ben'xian'er'yi'an 间甲苯酰二乙胺
'jian'jie'chong'ke 鲣节虫科
'jian'qiao'ju'xi'bao'liu 腱鞘巨细胞瘤
'jian'qiao'xian'wei'liu 腱鞘纤维瘤
'jian'rui'hong'tai'xian 尖锐红苔藓
'jian'rui'shi'you 尖锐湿疣
'jian'rui'you 尖锐疣
'jian'rui'you'zhuang'wang'zhuang'hong'tai'xian 尖锐疣状网状红苔藓
'jian'shi'cu'suan'bi 碱式醋酸铋
'jian'shi'cu'suan'qian 碱式醋酸铅
'jian'xia'chui'nei'zi'zhui'pi'zong'he'zheng 睑下垂内眦赘皮综合征
'jian'xie'xing'huai'si'xing'zhi'duan'qing'zi'zheng 间歇性坏死性肢端青紫症
'jian'ying'pi'fu'zong'he'zheng 坚硬皮肤综合症
'jian'zhi'xing'fei'da'xing'shen'jing'yan 间质性肥大性神经炎
'jiang'dan'bai 缰蛋白
'jiang'gai'su'ji'yin'xiang'guan'tai 降钙素基因相关肽
'jiang'xi'bao'xing'bao'pi'gui'tou'yan 浆细胞性包皮龟头炎
'jiang'xi'bao'xing'chun'yan 浆细胞性唇炎
'jiao'ceng'xia'nong'pao'xing'pi'bing 角层下脓疱性皮病
'jiao'cha'pian'ce'wei'suo 交叉偏侧萎缩
'jiao'dan'bai 角蛋白
'jiao'dan'bai'si 角蛋白丝
'jiao'dan'bai'wei'si 角蛋白微丝
'jiao'dan'bai'xiang'guan'dan'bai 角蛋白相关蛋白
'jiao'dan'bai'zhong'jian'si'xiang'guan'dan'bai 角蛋白中间丝相关蛋白
'jiao'gan'shen'jing'xing'yan'ji'ma'bi 交感神经性眼肌麻痹
'jiao'hua'ji'pi'liu 角化棘皮瘤
'jiao'hua'xing'chuan'ran'xing'ruan'you 角化性传染性软疣
'jiao'hua'zheng 角化症
'jiao'huan'zi 交换子
'jiao'jie'xing'da'pao'xing'biao'pi'song'jie'zheng 交界性大疱性表皮松解症
'jiao'mo'ruan'gu'pi'fu'ying'yang'bu'liang'zong'he'zheng 角膜软骨皮肤营养不良综合征
'jiao'mo'yan'yu'lin'bing'ji'er'long'zong'he'zheng 角膜炎鱼鳞病及耳聋综合症
'jiao'sha'mei'su 交沙霉素
'jiao'ya'liu'suan'na 焦亚硫酸钠
'jiao'yang'jia'xing'su'qiu'zhen 胶样假性粟丘疹
'jiao'yang'su'qiu'zhen 胶样粟丘疹
'jiao'yang'xiao'ti 胶样小体
'jiao'yang'ying'er 胶样婴儿
'jiao'yuan'chuang 胶原窗
'jiao'yuan'rong'jie 胶原溶解
'jiao'zhi'bao'mo 角质包膜
'jiao'zhi'bo'li'ji 角质剥离剂
'jiao'zhi'cu'cheng'ji 角质促成剂
'jiao'zhi'nang'zhong 角质囊肿
'jiao'zhi'sheng'fa'dai 角质生发带
'jiao'zhi'tou'ming'ke'li 角质透明颗粒
'jiao'zhi'xiao'ti 角质小体
'jiao'zhi'xing'cheng'bu'quan 角质形成不全
'jiao'zhi'xing'cheng'xi'bao 角质形成细胞
'jiao'zhi'xing'cheng'xiao'ti 角质形成小体
'jiao'zhi'yang'ban'ceng 角质样板层
'jie'chu'xing'chao'min'fan'ying 接触性超敏反应
'jie'chu'xing'chun'yan 接触性唇炎
'jie'chu'xing'pi'yan 接触性皮炎
'jie'chu'xing'qi'min'fan'ying 接触性起敏反应
'jie'chu'xing'xun'ma'zhen 接触性荨麻疹
'jie'chuang 疥疮
'jie'chuang'kong'bu 疥疮恐怖
'jie'di'zu'zhi'zeng'sheng'xing'mao'fa'shang'pi'liu 结缔组织增生性毛发上皮瘤
'jie'di'zu'zhi'zhi 结缔组织痣
'jie'duan'xing'tou'ming'xing'xue'guan'yan 节段性透明性血管炎
'jie'fu'jing'gao 洁肤净膏
'jie'he'gan'jun 结核杆菌
'jie'he'jun'chun'dan'bai'yan'sheng'wu 结核菌纯蛋白衍生物
'jie'he'jun'su'shi'yan 结核菌素试验
'jie'he'mo'zhi 结合膜痣
'jie'he'xing'xia'gan 结核性下疳
'jie'jie 结节
'jie'jie'bing 结节病
'jie'jie'wei'suo'xing'pi'fu'dian'fen'yang'bian'bing 结节萎缩型皮肤淀粉样变病
'jie'jie'xing'biao'pi'xia'xian'wei'hua 结节性表皮下纤维化
'jie'jie'xing'cui'fa'zheng 结节性脆发症
'jie'jie'xing'dong'mai'zhou'wei'yan 结节性动脉周围炎
'jie'jie'xing'duo'dong'mai'yan 结节性多动脉炎
'jie'jie'xing'er'lun'ruan'gu'pi'yan 结节性耳轮软骨皮炎
'jie'jie'xing'fa're'xing'fei'hua'nong'xing'zhi'mo'yan 结节性发热性非化脓性脂膜炎
'jie'jie'xing'han'xian'liu 结节性汗腺瘤
'jie'jie'xing'hong'ban 结节性红斑
'jie'jie'xing'huai'si'xing'pi'yan 结节性坏死性皮炎
'jie'jie'xing'huang'liu 结节性黄瘤
'jie'jie'xing'jie'he'xing'jing'mai'yan 结节性结核性静脉炎
'jie'jie'xing'lei'tan'xing'xian'wei'bing 结节性类弹性纤维病
'jie'jie'xing'man'xing'er'lun'ruan'gu'pi'yan 结节性慢性耳轮软骨皮炎
'jie'jie'xing'pi'fu'lang'chuang'nian'dan'bai'bing 结节性皮肤狼疮粘蛋白病
'jie'jie'xing'tai'xian 结节性苔藓
'jie'jie'xing'xue'guan'yan 结节性血管炎
'jie'jie'xing'yang'zhen 结节性痒疹
'jie'jie'xing'ying'hua'bing 结节性硬化病
'jie'jie'xing'ying'hua'zheng 结节性硬化症
'jie'jie'xing'ying'pi'bing 结节性硬皮病
'jie'jie'xing'zhen'pi'guo'min'zhen 结节性真皮过敏疹
'jie'jie'xing'zhi'fang'huai'si 结节性脂肪坏死
'jie'kang'ji'tong'se'lin 拮抗剂酮色林
'jie'mao'zheng 结毛症
'jie'niao'lei'gan'jun 解脲类杆菌
'jie'she'zheng 结舌症
'jie'tou 接头
'jie'yu'jie'bing 疖与疖病
'jie'zhong'xing'dan'chun'pao'zhen 接种性单纯疱疹
'jin'guan'jie'jie'jie 近关节结节
'jin'he'lian'si'jun 金褐链丝菌
'jin'he'mei'su 金褐霉素
'jin'huang'se'pu'tao'qiu'jun 金黄色葡萄球菌
'jin'huang'se'tai'xian 金黄色苔藓
'jin'lan'jian'fu'gao 金兰健肤膏
'jin'mei'su 金霉素
'jin'nuo'fen 金诺芬
'jin'ping'hua'nian'zhu'jun 近平滑念珠菌
'jin'shu'mei 金属酶
'jin'shu'yin'qi'de'kou'qiang'nian'mo'bing'bian 金属引起的口腔粘膜病变
'jin'xing'xing'bai'xue'xing'rou'ya'zhong'bing 进行性败血性肉芽肿病
'jin'xing'xing'dan'ce'mian'wei'suo 进行性单侧面萎缩
'jin'xing'xing'dui'chen'xing'hong'ban'jiao'pi'zheng 进行性对称性红斑角皮症
'jin'xing'xing'duo'zao'xing'bai'nao'bing 进行性多灶性白脑病
'jin'xing'xing'hong'ban'jiao'pi'zheng 进行性红斑角皮症
'jin'xing'xing'jie'jie'xing'zu'zhi'xi'bao'liu 进行性结节性组织细胞瘤
'jin'xing'xing'jie'jie'xing'zu'zhi'xi'bao'zeng'sheng'bing 进行性结节性组织细胞增生病
'jin'xing'xing'man'xing'pan'zhuang'rou'ya'zhong'bing 进行性慢性盘状肉牙肿病
'jin'xing'xing'se'su'xing'zi'dian'xing'pi'fu'bing 进行性色素性紫癜性皮肤病
'jin'xing'xing'te'fa'xing'pi'fu'wei'suo 进行性特发性皮肤萎缩
'jin'xing'xing'xi'tong'xing'ying'pi'bing 进行性系统性硬皮病
'jin'xing'xing'xin'ji'bing'xing'hei'zi'bing 进行性心肌病性黑子病
'jin'xing'xing'ying'er'xian'wei'liu'bing 进行性婴儿纤维瘤病
'jin'xing'xing'zhang'zhi'jiao'pi'zheng 进行性掌跖角皮症
'jin'xing'xing'zhi'duan'hei'bian'bing 进行性肢端黑变病
'jin'xing'xing'zhi'fang'ying'yang'bu'liang 进行性脂肪营养不良
'jin'xing'xing'zhi'zhang'jiao'pi'zheng 进行性指掌角皮症
'jin'xing'xing'zhong'dou'zheng 进行性种痘症
'jin'zi 浸渍
'jing'biao'pi'pai'chu 经表皮排出
'jing'bu'jia'xing'pi'wei'suo 颈部假性皮萎缩
'jing'bu'lou'guan'ji'nang'zhong 颈部瘘管及囊肿
'jing'bu'mei'du'xing'bai'ban 颈部梅毒性白斑
'jing'bu'xian'wei'liu'bing 颈部纤维瘤病
'jing'bu'xiong'xian'nang'zhong 颈部胸腺囊肿
'jing'er 颈耳
'jing'jiao'gan'shen'jing'ci'ji'zong'he'zheng 颈交感神经刺激综合症
'jing'jiao'gan'shen'jing'ma'bi 颈交感神经麻痹
'jing'luan'xing'shuang'tan'yu'lin'bing'jing'shen'you'zhi'bing 痉挛性双瘫鱼鳞病精神幼稚病
'jing'mai'hu 静脉湖
'jing'mai'ji'neng'bu'quan 静脉机能不全
'jing'mai'nei'zhu'she'mian'yi'qiu'dan'bai 静脉内注射免疫球蛋白
'jing'mai'qu'zhang 静脉曲张
'jing'mai'qu'zhang'xing'kui'yang 静脉曲张性溃疡
'jing'mai'qu'zhang'zong'he'zheng 静脉曲张综合征
'jing'mai'xing'huai'ju 静脉性坏疽
'jing'mai'xue'shuan'xing'cheng 静脉血栓形成
'jing'mai'zhou'wei'yan 静脉周围炎
'jing'qian'da'pao'xing'biao'pi'song'jie'zheng 胫前大疱性表皮松解症
'jing'qian'nian'ye'xing'shui'zhong 胫前粘液性水肿
'jing'shen'pi'fu'bing 精神皮肤病
'jing'shen'xing'zi'dian 精神性紫癜
'jing'xing'su'li'zhen 晶形粟粒疹
'jing'zhi'hei'dou'liu'you 精制黑豆馏油
'jing'zhi'liu'huang 精制硫黄
'jiu'jie'he'jun'su 旧结核菌素
'jiu'zha'bi 酒渣鼻
'jiu'zha'bi'yang'jie'he'zhen 酒渣鼻样结核疹
'ju'bu'ban'hen'xing'tuo'fa 局部瘢痕性脱发
'ju'bu'quan'ceng'wei'suo 局部全层萎缩
'ju'bu'xing'pi'fu'song'chi'zheng 局部性皮肤松弛症
'ju'da'jian'rui'shi'you 巨大尖锐湿疣
'ju'da'ruan'xia'gan 巨大软下疳
'ju'he'xing'cuo'chuang 聚合性痤疮
'ju'ji'bao 聚肌胞
'ju'qiu'dan'bai'xue'zheng'xing'zi'dian 巨球蛋白血症性紫癜
'ju'she 巨舌
'ju'tang'lei 聚糖类
'ju'xi'bao'bao'han'ti'bing 巨细胞包涵体病
'ju'xi'bao'bing'du 巨细胞病毒
'ju'xi'bao'dong'mai'yan 巨细胞动脉炎
'ju'xian'xing'pi'fu'song'chi'zheng 局限性皮肤松弛症
'ju'xian'xing're'xun'ma'zhen 局限性热荨麻疹
'ju'xian'xing'sao'yang'bing 局限性瘙痒病
'ju'xian'xing'ying'pi'bing 局限性硬皮病
'ju'xian'xing'zhang'zhi'jiao'pi'zheng 局限性掌跖角皮症
'ju'yi'er'chun 聚乙二醇
'ju'zao'xing'zhen'pi'fa'yu'bu'liang 局灶性真皮发育不良
'ju'zao'zhen'pi'fa'yu'bu'quan 局灶真皮发育不全
'ju'zhi'zhi'pian'ce'fei'da'ji'jie'ti'zu'zhi'zhi 巨指趾偏侧肥大及结蹄组织痣
'ju'zhi'zhi'zong'he'zheng 巨指趾综合征
'juan'fa'zong'he'zheng 卷发综合征
'jun'lie 皲裂
'jun'qiu 菌球
'ka'bo'san'chun 卡泊三醇
'ka'dan'jie 卡氮芥
'ka'fei'ban 咖啡斑
'ka'li'weng'bing 卡里翁病
'ka'ma'xi'ping 卡马西平
'ka'na'mei'su 卡那霉素
'ka'shi'fei'nang'chong 卡氏肺囊虫
'ka'tuo'pu'li 卡托普利
'kan'sa'si'fen'zhi'gan'jun 堪萨斯分枝杆菌
'kan'sa'si'fen'zhi'gan'jun'de'pi'fu'gan'ran 堪萨斯分枝杆菌的皮肤感染
'kang'bi'bao'zi'jun'shu 糠秕孢子菌属
'kang'bi'bao'zi'jun'xing'mao'nang'yan 糠秕孢子菌性毛囊炎
'kang'bi'ma'la'se'jun 糠秕马拉色菌
'kang'bo'xing'dan'bai'jian'zhi'xian'wei'kang'ti 抗波形蛋白间质纤维抗体
'kang'he'kang'ti 抗核抗体
'kang'he'mu'zhi'kang'ti 抗核母质抗体
'kang'huai'xue'suan 抗坏血酸
'kang'lin'ba'xi'bao'xue'qing 抗淋巴细胞血清
'kang'lin'zhi 抗磷脂
'kang'lin'zhi'kang'ti 抗磷脂抗体
'kang'lin'zhi'zong'he'zheng 抗磷脂综合症
'kang'ti'que'xian'zong'he'zheng 抗体缺陷综合征
'kang'xin'lin'zhi'kang'ti 抗心磷脂抗体
'kang'xiong'ji'su 抗雄激素
'kang'yan'song 抗炎松
'kang'yi'dan'bai'mei'que'fa'bing'fa'zhi'mo'yan 抗胰蛋白酶缺乏并发脂膜炎
'kang'yuan'cheng'di'xi'bao 抗原呈递细胞
'kang'zhuo'si'dian'kang'ti 抗着丝点抗体
'ke'bian'jian'jie 可变剪接
'ke'bian'xing'hong'ban'jiao'hua'zheng 可变性红斑角化症
'ke'bian'xing'tu'xing'hong'ban'jiao'hua'zheng 可变性图形红斑角化症
'ke'di'song 可的松
'ke'er'li'bing 克尔里病
'ke'jia'zheng 壳甲症
'ke'jia'zong'he'zheng 壳甲综合征
'ke'ke'dou'you 可可豆油
'ke'la'mei'su 克拉霉素
'ke'lin'mei'su 克林霉素
'ke'long'qing'chu 克隆清除
'ke'long'wu'neng 克隆无能
'ke'luo'mi'tong 克罗米通
'ke'lv'gan'jun 克吕杆菌
'ke'mei'zuo 克霉唑
'ke'nian'jun'su 克念菌素
'ke'sa'qi 柯萨奇
'ke'sa'qi'bing'du 柯萨奇病毒
'ke'sa'qi'bing'du'zhen 柯萨奇病毒疹
'ke'sa'qi'shi'zhen 柯萨奇湿疹
'ke'shi'zhui'chong 克氏锥虫
'ke'wei'li 壳微粒
'ke'yi'zhi'zhang'li'si 可抑制张力丝
'kong'pao'bing'du 空泡病毒
'kou'chun'pao'zhen 口唇疱疹
'kou'fu'ji're'shi'yan 口服激惹试验
'kou'jiao'chun'yan 口角唇炎
'kou'qiang'bian'ping'shi'you 口腔扁平湿疣
'kou'qiang'bing'du'xing'bai'ban 口腔病毒性白斑
'kou'qiang'cai'hua'zhuang'ru'tou'liu'bing 口腔菜花状乳头瘤病
'kou'qiang'mao'zhuang'nian'mo'bai'ban 口腔毛状粘膜白斑
'kou'qiang'mao'zhuang'nian'mo'bai'ban'bing 口腔毛状粘膜白斑病
'kou'qiang'nian'mo'bai'ban'bing 口腔粘膜白斑病
'kou'qiang'nian'mo'huai'si'xing'kui'yang 口腔粘膜坏死性溃疡
'kou'qiang'nian'mo'nian'ye'nang'zhong 口腔粘膜粘液囊肿
'kou'qiang'zao'xing'shang'pi'zeng'sheng 口腔灶性上皮增生
'kou'ti'bing 口蹄病
'kou'zhou'pi'yan 口周皮炎
'ku'shen 苦参
'ku'xin'zong'he'zheng 库欣综合征
'kuai'su'xue'jiang'fan'ying'su'huan'zhuang'ka'pian'shi'yan 快速血浆反应素环状卡片试验
'kuan'mu'zhi'ju'zhi'zong'he'zheng 宽拇指巨趾综合征
'kuang'jia'yi'wei 框架移位
'kuang'zhou'pi'yan 眶周皮炎
'kui'lin 喹啉
'kui'she'ke 蝰蛇科
'kui'yang 溃疡
'kui'yang'fen'zhi'gan'jun 溃疡分枝杆菌
'kui'yang'xing'lang'chuang 溃疡性狼疮
'kui'yang'xing'mo'xing'kou'yan 溃疡性膜性口炎
'kui'yang'xing'mo'xing'ya'yin'yan 溃疡性膜性牙龈炎
'kui'yang'xing'pi'fu'jie'he 溃疡性皮肤结核
'kui'yang'xing'pi'fu'yan 溃疡性皮肤炎
'kui'yang'xing'su'li'jie'he'bing 溃疡性粟粒结核病
'kui'yang'xing'yi'dao'xi'bao'liu'zong'he'zheng 溃疡性胰岛细胞瘤综合症
'kuo'zhang'kong 扩张孔
'la'jiao'la'su 辣椒辣素
'la'yang'tou'bao 拉氧头孢
'lai'mu'bing 莱姆病
'lan'jia 蓝甲
'lan'lv'zao 蓝绿藻
'lan'zhi 蓝痣
'lang'chuang'dai'shi'yan 狼疮带试验
'lang'chuang'fa 狼疮发
'lang'chuang'kang'ning'wu'zhi 狼疮抗凝物质
'lang'chuang'xing'zhi'mo'yan 狼疮性脂膜炎
'lang'ge'han'si'xi'bao 朗格汉斯细胞
'lao'an'suan'xue'zheng 酪氨酸血症
'lao'nian'jiao'hua'bing 老年角化病
'lao'nian'pi'zhi'xian'zhi 老年皮脂腺痣
'lao'nian'wei'suo 老年萎缩
'lao'nian'xing'bai'ban 老年性白斑
'lao'nian'xing'hei'zi 老年性黑子
'lao'nian'xing'huai'xue'bing 老年性坏血病
'lao'nian'xing'nv'yin'wei'suo 老年性女阴萎缩
'lao'nian'xing'pi'fu'wei'suo 老年性皮肤萎缩
'lao'nian'xing'pi'zhi'xian'zeng'sheng 老年性皮脂腺增生
'lao'nian'xing'ren'gong'zi'dian 老年性人工紫癜
'lao'nian'xing'sao'yang'bing 老年性瘙痒病
