'a'ba 阿爸
'lie'que'de'tang'guo 烈雀的糖果
'lie'tui'huang 烈腿蝗
'lie'tui'huang'tou'kui 烈腿蝗头盔
'lie'yan'hou 烈焰猴
'lie'yan'jian'she 烈焰溅射
'lie'yan'ma 烈焰马
'lie'yao'lu'sha 烈咬陆鲨
'lie'yao'lu'sha'jin'hua'shi 烈咬陆鲨进化石
'lie'zhen'bing 列阵兵
'lie'zhen'bing'de'han 列阵兵的汗
'lin'bie'li'wu 临别礼物
'lin'fen 鳞粉
'lin'fen'bao'ke'meng 鳞粉宝可梦
'lin'huo 磷火
'lin'huo'bao'ke'meng 磷火宝可梦
'lin'jia'long 鳞甲龙
'lin'pian'bao'ke'meng 鳞片宝可梦
'lin'pian'zao'yin 鳞片噪音
'lin'she 鳞射
'lin'tai'lang 凛太朗
'lin'xi'bao'ke'meng 林蜥宝可梦
'ling'dang'bao'ke'meng 铃铛宝可梦
'ling'dang'xiang 铃铛响
'ling'dang'xiang'de'sui'pian 铃铛响的碎片
'ling'hua'qian 零花钱
'ling'hua'qian'peng'peng 零花钱碰碰
'ling'hun'chong'ji 灵魂冲击
'ling'jie'zhi'bu 灵界之布
'ling'nai 玲奈
'ling'qu'yan'jiu'suo 零区研究所
'ling'qu'zha'kou 零区闸口
'ling'sao 灵骚
'ling'shou'xing'tai 灵兽形态
'ling'wen'shui'bei 菱纹水杯
'ling'wen'shui'hu 菱纹水壶
'ling'wen'yi'zi 菱纹椅子
'ling'wen'zhuo'jin 菱纹桌巾
'ling'xiang 绫香
'ling'xing'zao'xing 菱形造型
'ling'xiu'zhi'zheng 领袖之证
'ling'yin 绫音
'ling'you'ma 灵幽马
'ling'you'ma'de'dian'xin 灵幽马的点心
'ling'yu 零余
'ling'yu'guo 零余果
'ling'zhi'da'kong'dong 零之大空洞
'ling'zhi'mi'bao 零之秘宝
'liu'bian'xing'mo'jing 六边形墨镜
'liu'bian'xing'yan'jing 六边形眼镜
'liu'guang'chong'ji 琉光冲激
'liu'liu'tang'qiu 溜溜糖球
'liu'liu'tang'qiu'de'mi 溜溜糖球的蜜
'liu'mang'bao'ke'meng 流氓宝可梦
'liu'mang'e 流氓鳄
'liu'sha'shen'yuan 流沙深渊
'liu'shi 榴石
'liu'shi'guo 榴石果
'liu'shui'xuan'wu 流水旋舞
'liu'wei 六尾
'liu'wei'de'mao 六尾的毛
'liu'wei'de'tang'guo 六尾的糖果
'liu'xia'de'jing'ling'qiu 留下的精灵球
'liu'xing'bao'ke'meng 流星宝可梦
'liu'xing'de'yang'zi 流星的样子
'liu'xing'guang'shu 流星光束
'liu'xing'qun 流星群
'liu'xing'shan'chong 流星闪冲
'liu'xing'tu'ji 流星突击
'long'bao'ke'meng 龙宝可梦
'long'chui 龙锤
'long'ci 龙次
'long'cun'chu'die 龙存储碟
'long'e 龙颚
'long'he 龙和
'long'huo 龙火
'long'huo'guo 龙火果
'long'jian 龙箭
'long'jing 龙睛
'long'jing'guo 龙睛果
'long'juan'feng 龙卷风
'long'juan'yun 龙卷云
'long'long'shi 隆隆石
'long'long'yan 隆隆岩
'long'sheng 隆生
'long'sheng'gu'wu 龙声鼓舞
'long'shou'ji'ke 龙手机壳
'long'tai'jing'sui'kuai 龙太晶碎块
'long'tou'di'shu 龙头地鼠
'long'wang'xie 龙王蝎
'long'wei 龙尾
'long'xi 龙息
'long'xia'xiao'bing 龙虾小兵
'long'xia'xiao'bing'de'ke 龙虾小兵的壳
'long'xiong 隆雄
'long'ye 龙也
'long'yi 隆一
'long'yu'bao'ke'meng 龙玉宝可梦
'long'zhi 隆志
'long'zhi'bao'shi 龙之宝石
'long'zhi'bo'dong 龙之波动
'long'zhi'fu'chong 龙之俯冲
'long'zhi'gu 龙之骨
'long'zhi'lin'pian 龙之鳞片
'long'zhi'nu 龙之怒
'long'zhi'shi'ban 龙之石板
'long'zhi'shou'tao'fu'zhi'pin 龙之手套复制品
'long'zhi'wu 龙之舞
'long'zhi'ya 龙之牙
'long'zhua 龙爪
'lu'di'shui'mu 陆地水母
'lu'e'duan'fa 露额短发
'lu'jing 陆鲸
'lu'jing'bao'ke'meng 陆鲸宝可梦
'lu'ka 露卡
'lu'ka'li'ou 路卡利欧
'lu'ka'li'ou'jin'hua'shi 路卡利欧进化石
'lu'li'li 露力丽
'lu'li'li'de'mao 露力丽的毛
'lu'nai'ya'la 露奈雅拉
'lu'nai'ya'la'de'dian'xin 露奈雅拉的点心
'lu'sha'bao'ke'meng 陆鲨宝可梦
'lu'shang'xing'tai 陆上形态
'lu'yi 路易
'lu'ying'zu'he 露营组合
'lu'zhi'shou'tao 露指手套
'luan'ji 乱击
'luan'liu 乱流
'luan'zhua 乱抓
'lun'chang 轮唱
'lun'hua'xie 轮滑鞋
'lun'qin'mao 伦琴猫
'luo'bo'zhong'zi 萝卜种子
'luo'ding'di'shu 螺钉地鼠
'luo'ding'di'shu'de'zhua'zi 螺钉地鼠的爪子
'luo'le 罗勒
'luo'lei'shou 落雷兽
'luo'lei'zhi'zheng 落雷之证
'luo'man'di'ke 罗曼蒂克
'luo'mao'bao'ke'meng 螺帽宝可梦
'luo'mei 洛玫
'luo'mei'guo 洛玫果
'luo'pai'bang 洛拍棒
'luo'pan'bao'ke'meng 罗盘宝可梦
'luo'qi'ya 洛奇亚
'luo'qi'ya'di'dian'xin 洛奇亚的点心
'luo'shi 落石
'luo'si'lei'duo 罗丝雷朵
'luo'si'tang'fa 螺丝烫发
'luo'tuo'mu 洛托姆
'luo'tuo'mu'de'dian'li 洛托姆的电力
'luo'tuo'mu'de'yang'zi 洛托姆的样子
'luo'tuo'mu'xing'lu 洛托姆型录
'luo'tuo'mu'zi'xing'che 洛托姆自行车
'luo'xuan'wei'qi 螺旋尾鳍
'luo'ying'bin'fen 落英缤纷
'luo'zi 罗子
'luo'zi'guo 罗子果
'lv'bao'ke'meng 驴宝可梦
'lv'gang'long 铝钢龙
'lv'gang'long'de'xiu 铝钢龙的锈
'lv'gang'qiao'long 铝钢桥龙
'lv'jing 滤镜
'lv'mao'chong 绿毛虫
'lv'mao'chong'de'tang'guo 绿毛虫的糖果
'lv'qiu'guo 绿球果
'lv'se 绿色
'lv'se'he'xin 绿色核心
'lv'se'hua'ban 绿色花瓣
'lv'se'hua'wen 绿色花纹
'lv'se'pan'zi 绿色盘子
'lv'se'sui'pian 绿色碎片
'lv'se'tou'jin 绿色头巾
'lv'song'shi 绿松石
'lv'tiao'wen 绿条纹
'lv'yu'mao 绿羽毛
'lv'zhu'zhu'san'ming'zhi'qian 绿珠珠三明治签
'ma'bi 麻痹
'ma'bi'fen 麻痹粉
'ma'fan 麻帆
'ma'hu 马虎
'ma'hu'bo'he 马虎薄荷
'ma'hua'quan 麻花犬
'ma'ji'ya'na 玛机雅娜
'ma'li 麻里
'ma'li'ka 玛丽卡
'ma'li'ka 玛莉卡
'ma'li'lu 玛力露
'ma'li'lu'li 玛力露丽
'ma'li'lu'qiu 玛力露球
'ma'li'na 玛莉娜
'ma'li'ya 玛丽雅
'ma'ma 妈妈
'ma'ma'ci'ci 麻麻刺刺
'ma'ma'de'ge'lei'pai'bing 妈妈的格雷派饼
'ma'ma'dian'ji 麻麻电击
'ma'ma'man 麻麻鳗
'ma'ma'man'yu'wang 麻麻鳗鱼王
'ma'ma'xiao'yu 麻麻小鱼
'ma'ma'xiao'yu'de'nian'ye 麻麻小鱼的黏液
'ma'na'fei 玛纳霏
'ma'nao'shui'mu 玛瑙水母
'ma'nao'shui'mu'de'tang'guo 玛瑙水母的糖果
'ma'nao'shui'mu'de'zhen 玛瑙水母的针
'ma'niu'la 玛狃拉
'ma'po'dou'fu 麻婆豆腐
'ma'sha'na 玛沙那
'ma'sha'na'de'han 玛沙那的汗
'ma'wei 马尾
'ma'xia'duo 玛夏多
'ma'yi 麻衣
'ma'you'hua 麻由花
'ma'zhi'shi'de'qian'ming 马志士的签名
'mai'fu'bao'ke'meng 埋伏宝可梦
'mai'ke'er 迈克尔
'mai'si 麦斯
'mai'yi'ka 麦依卡
'man'bu'bei'qu 漫步北区
'man'bu'dong'qu 漫步东区
'man'bu'hong'hong'sha'mo 漫步烘烘沙漠
'man'bu'nan'qu 漫步南区
'man'bu'xi'qu 漫步西区
'man'chu 慢出
'man'fu'hua'wen 满腹花纹
'man'fu'san'ming'zhi 满腹三明治
'man'gan 蛮干
'man'li 蛮力
'man'mei 蔓莓
'man'mei'guo 蔓莓果
'man'qi'dong 慢启动
'man'shen'sha'zi'de 满身沙子的
'man'shen'tang 满身糖
'man'teng'guai 蔓藤怪
'man'teng'guai'de'tang'guo 蔓藤怪的糖果
'man'tun'tun 慢吞吞
'man'tun'tun'bo'he 慢吞吞薄荷
'mang'guo'bing'qi'lin 芒果冰淇淋
'mang'mang 芒芒
'mang'mang'guo 芒芒果
'mao'bian'yang 毛辫羊
'mao'lao'da 猫老大
'mao'mao'chong'bao'ke'meng 毛毛虫宝可梦
'mao'mao'jiao'yang 毛毛角羊
'mao'ming 茂明
'mao'pai'huo'de'yang'zi 冒牌货的样子
'mao'pi'da'yi 毛皮大衣
'mao'qiu 毛球
'mao'qiu'de'tang'guo 毛球的糖果
'mao'qiu'de'ya 毛球的牙
'mao'qiu'mao 毛球帽
'mao'rong'rong 毛茸茸
'mao'rong'yuan'ding'mao 毛绒圆顶帽
'mao'sheng 茂盛
'mao'tou'xiao'ying 毛头小鹰
'mao'tou'xiao'ying'de'yu'mao 毛头小鹰的羽毛
'mao'tou'ye'ying 猫头夜鹰
'mao'tou'ying'bao'ke'meng 猫头鹰宝可梦
'mao'xian'bi'ji 冒险笔记
'mao'xian'de'ji'lu 冒险的记录
'mao'xian'qiu 毛线球
'mao'xie'bao'ke'meng 毛蟹宝可梦
'mao'ya'xie 毛崖蟹
'mao'ya'xie'bang 毛崖蟹棒
'mao'ya'xie'de'qian'zi 毛崖蟹的钳子
'mao'ya'xie'san'ming'zhi 毛崖蟹三明治
'mao'you'bao'ke'meng 猫鼬宝可梦
'mao'you'shao 猫鼬少
'mao'you'shao'de'mao 猫鼬少的毛
'mao'you'tan'zhang 猫鼬探长
'mao'you'zhan 猫鼬斩
'mao'you'zhan'de'zhua'zi 猫鼬斩的爪子
'mao'zi 帽子
'mei'gui'fen'hong 玫瑰粉红
'mei'guo'jiang 莓果酱
'mei'hua 魅华
'mei'huo'zhi'sheng 魅惑之声
'mei'jian'guo'ren'lei'de 没见过人类的
'mei'jiu 美玖
'mei'ke 美可
'mei'li'da'shi'jiang'zhang 美丽大师奖章
'mei'li'de'di'fang 美丽的地方
'mei'li'hua 美丽花
'mei'li'kong'ke 美丽空壳
'mei'li'lin'pian 美丽鳞片
'mei'li'miao 魅力喵
'mei'li'zhi'yu 美丽之羽
'mei'liu 莓榴
'mei'liu'guo 莓榴果
'mei'lu'mei'ta 美录梅塔
'mei'lu'tan 美录坦
'mei'lu'tan'de'tang'guo 美录坦的糖果
'mei'luo'ke 梅洛可
'mei'luo'ye'ta 美洛耶塔
'mei'mao 眉毛
'mei'mao'de'yan'se 眉毛的颜色
'mei'mei 莓莓
'mei'mei'guo 莓莓果
'mei'na 美娜
'mei'na'si 美纳斯
'mei'qing 美晴
'mei'shi'jia 美食家
'mei'shi'zhi'zheng 美食之证
'mei'shu'jiao'shi 美术教室
'mei'shu'she 美术社
'mei'sui 美穗
'mei'tan'bao'ke'meng 煤炭宝可梦
'mei'tan'gui 煤炭龟
'mei'tan'gui'de'mei'tan 煤炭龟的煤炭
'mei'wei'wei'ba 美味尾巴
'mei'wei'zhi'shui 美味之水
'mei'xian'kuang'mo'jing 眉线框墨镜
'mei'xian'kuang'yan'jing 眉线框眼镜
'mei'xu 美绪
'mei'xue 美雪
'mei'yan'bao'ke'meng 美艳宝可梦
'mei'you'bao'bao 没有包包
'mei'you'dui'wu 没有队伍
'mei'you'jiang'zhang 没有奖章
'mei'you'mao'zi 没有帽子
'mei'you'shou'tao 没有手套
'mei'you'tong'zhi 没有通知
'mei'you'wa'zi 没有袜子
'mei'you'wu'pin 没有物品
'mei'you'xiao'guo 没有效果
'mei'you'yan'jing 没有眼镜
'mei'you'zhao'ji 没有召集
'mei'you'zhi'sheng 魅诱之声
'meng'chong'bao'ke'meng 猛冲宝可梦
'meng'e'gu 猛恶菇
'meng'ge'xian'ren'zhang 梦歌仙人掌
'meng'hua 梦话
'meng'huan 梦幻
'meng'huan'de'tang'guo 梦幻的糖果
'meng'huo 猛火
'meng'huo'bao'ke'meng 猛火宝可梦
'meng'huo'hou 猛火猴
'meng'jing'qiu 梦境球
'meng'lei'gu 猛雷鼓
'meng'mei 萌美
'meng'meng 萌虻
'meng'meng'de'fen 萌虻的粉
'meng'meng'shi 梦梦蚀
'meng'ning 檬柠
'meng'ning'guo 檬柠果
'meng'pu 猛扑
'meng'qin'bao'ke'meng 猛禽宝可梦
'meng'tui 猛推
'meng'tui'bao'ke'meng 猛推宝可梦
'meng'xiang'cheng'zhen'de 梦想成真的
'meng'ya'lu 萌芽鹿
'meng'yan 梦魇
'meng'yao 梦妖
'meng'yao'de'yan'lei 梦妖的眼泪
'meng'yao'mo 梦妖魔
'meng'zhuang 猛撞
'mi'a'lei'ge'lei'pai'bing 密阿雷格雷派饼
'mi'bao'ke'meng 谜宝可梦
'mi'bu'ding 米布丁
'mi'bu'li'mu 迷布莉姆
'mi'bu'li'mu'de'diao'luo'wu 迷布莉姆的掉落物
'mi'chuan'ku'wei'liao 秘传苦味料
'mi'chuan'la'wei'liao 秘传辣味料
'mi'chuan'suan'wei'liao 秘传酸味料
'mi'chuan'tian'wei'liao 秘传甜味料
'mi'chuan'tiao'wei'liao 秘传调味料
'mi'chuan'xian'wei'liao 秘传咸味料
'mi'chuan'xue'xi'qi 秘传学习器
'mi'chuan'zhi'yao 秘传之药
'mi'chun'jie 迷唇姐
'mi'chun'jie'de'tang'guo 迷唇姐的糖果
'mi'chun'wa 迷唇娃
'mi'fan 米饭
'mi'ge'er 米格尔
'mi'hun'quan 迷昏拳
'mi'ji'da'she 蜜集大蛇
'mi'jia 米佳
'mi'jian'qian'zhong'tao 秘剑千重涛
'mi'le'dun 密勒顿
'mi'le'dun'de'qiu 密勒顿的球
'mi'lei 蜜蕾
'mi'li'long 米立龙
'mi'li'long'de'lin'pian 米立龙的鳞片
'mi'lin'bao'ke'meng 密林宝可梦
'mi'mi 秘密
'mi'mi'hu'po 秘密琥珀
'mi'mi'yao'shi 秘密钥匙
'mi'mi'zhi'li 秘密之力
'mi'mo'sha 米莫莎
'mi'ni 谜拟
'mi'ni'bing 迷你冰
'mi'ni'fu 迷你芙
'mi'ni'fu'de'you 迷你芙的油
'mi'ni'long 迷你龙
'mi'ni'long'de'lin'pian 迷你龙的鳞片
'mi'ni'long'de'tang'guo 迷你龙的糖果
'mi'ni'qiu 谜拟丘
'mi'ni'qiu'de'can'pian 谜拟丘的残片
'mi'nuo'li 米诺莉
'mi'ren 迷人
'mi'ren'zhi'qu 迷人之躯
'mi'se 米色
'mi'se'yi'zi 米色椅子
'mi'se'zhuo'jin 米色桌巾
'mi'sha 米沙
'mi'tan'dou'peng 密探斗篷
'mi'xie'er 米歇尔
'mi'you'tuan 蜜诱团
'mi'yu 密语
'mi'zhi 谜芝
'mi'zhi'guo 谜芝果
'mi'zhi'ping'guo 蜜汁苹果
'mi'zhi'shui'jing 谜之水晶
'mi'zhi'sui'pian 谜之碎片
'mian'bao'zi 棉孢子
'mian'cao'bao'ke'meng 棉草宝可梦
'mian'hua'fang'shou 棉花防守
'mian'hua'tang'bao'ke'meng 棉花糖宝可梦
'mian'ju'bao'ke'meng 面具宝可梦
'mian'ju'tan 面具摊
'mian'mao'bao'ke'meng 绵毛宝可梦
'mian'mian'pao'fu 绵绵泡芙
'mian'niao'bao'ke'meng 绵鸟宝可梦
'mian'qiu'bao'ke'meng 棉球宝可梦
'mian'shi'bao'ke'meng 棉饰宝可梦
'mian'shi'ce'yan 面试测验
'mian'tiao 面条
'mian'tiao'san'ming'zhi 面条三明治
'mian'xu 棉絮
'mian'yang'bao'ke'meng 绵羊宝可梦
'mian'yi 免疫
'mian'ying'hui'ying 面影辉映
'miao'hui 描绘
'miao'miao 喵喵
'miao'miao 妙喵
'miao'miao'de'mao 喵喵的毛
'miao'miao'de'mao 妙喵的毛
'miao'miao'de'tang'guo 喵喵的糖果
'miao'tou'mu 喵头目
'miao'wa'cao 妙蛙草
'miao'wa'hua 妙蛙花
'miao'wa'hua'jin'hua'shi 妙蛙花进化石
'miao'wa'zhong'zi 妙蛙种子
'miao'wa'zhong'zi'de'tang'guo 妙蛙种子的糖果
'mie'li'yang 咩利羊
'mie'li'yang'de'mao'qiu 咩利羊的毛球
'mie'wang'zhi'qu 灭亡之躯
'min'jie'chong 敏捷虫
'min'jie'tang'guo 敏捷糖果
'min'zi 民子
'ming'cheng'pai'xu 名称排序
'ming'ci 名次
'ming'hong 明宏
'ming'lei'feng'bao 鸣雷风暴
'ming'liu 名流
'ming'liu'shou'ji'ke 名流手机壳
'ming'mei 明美
'ming'ri'xiang 明日香
'ming'xi 明细
'ming'xiang 冥想
'ming'xiang'bao'ke'meng 冥想宝可梦
'ming'xuan 鸣轩
'ming'yun'zhi'zheng 命运之证
'ming'zhong 命中
'ming'zhong'qiang'hua 命中强化
'ming'zhong'zhu'ding'de 命中注定的
'ming'zi 名字
'mo'ai 莫艾
'mo'cha'bao'ke'meng 抹茶宝可梦
'mo'deng'hua'wen 摩登花纹
'mo'fa'bao'chong 魔法暴冲
'mo'fa'bao'ke'meng 魔法宝可梦
'mo'fa'fan'she 魔法反射
'mo'fa'fang'shou 魔法防守
'mo'fa'fen 魔法粉
'mo'fa'huo'yan 魔法火焰
'mo'fa'jiao'huan 魔法交换
'mo'fa'jing 魔法镜
'mo'fa'kong'jian 魔法空间
'mo'fa'shan'yao 魔法闪耀
'mo'fa'tian'xin'san'ming'zhi'qian 魔法甜心三明治签
'mo'fa'xing'xing'san'ming'zhi'qian 魔法星星三明治签
'mo'fa'ye 魔法叶
'mo'fang 模仿
'mo'fang'bao'ke'meng 模仿宝可梦
'mo'fang'xiang'cao 模仿香草
'mo'gu'bao'ke'meng 蘑菇宝可梦
'mo'gu'bao'zi 蘑菇孢子
'mo'hai'ma 墨海马
'mo'hai'ma'de'mo'zhi 墨海马的墨汁
'mo'hai'ma'de'tang'guo 墨海马的糖果
'mo'hu 模糊
'mo'huan'jia'mian'miao 魔幻假面喵
'mo'ju'bao'ke'meng 默剧宝可梦
'mo'li 磨砺
'mo'ling'shan'hu 魔灵珊瑚
'mo'lu'bei'ke 莫鲁贝可
'mo'lu'bei'ke'de'zhong'zi 莫鲁贝可的种子
'mo'lu'e 摩鲁蛾
'mo'mei 墨莓
'mo'mei'guo 墨莓果
'mo'mo'gu 蘑蘑菇
'mo'mo'gu'de'bao'zi 蘑蘑菇的孢子
'mo'ni'ni 魔尼尼
'mo'qiang'ren'ou 魔墙人偶
'mo'qiang'ren'ou'de'tang'guo 魔墙人偶的糖果
'mo'ren 默认
'mo'ren'yan'se 默认颜色
'mo'shen'bao'ke'meng 魔神宝可梦
'mo'shu'shi 魔术师
'mo'shu'shi'bao'ke'meng 魔术师宝可梦
'mo'te 模特
'mo'tuo'xi 摩托蜥
'mo'tuo'xi'de'lin'pian 摩托蜥的鳞片
'mo'xiang'bao'ke'meng 魔像宝可梦
'mo'ya'bao'ke'meng 磨牙宝可梦
'mo'ya'cai'pi'yu 磨牙彩皮鱼
'mo'ya'cai'pi'yu'de'ya'chi 磨牙彩皮鱼的牙齿
'mo'zhao 磨爪
'mou'mou'ru'lao 哞哞乳酪
'mou'mou'xian'nai 哞哞鲜奶
'mou'zhong'yang'zi 某种样子
'mu'biao 目标
'mu'cai 木材
'mu'chui 木槌
'mu'dan 牡丹
'mu'dan'de'fang'jian 牡丹的房间
'mu'diao'wang'guan 木雕王冠
'mu'er'bao'ke'meng 木耳宝可梦
'mu'fei 木非
'mu'guang'bao'ke'meng 目光宝可梦
'mu'jiao 木角
'mu'ke'er 姆克儿
'mu'ke'er'de'yu'mao 姆克儿的羽毛
'mu'ke'niao 姆克鸟
'mu'ke'ying 姆克鹰
'mu'mei 睦美
'mu'mian'qiu 木棉球
'mu'mian'qiu'de'mian'xu 木棉球的棉絮
'mu'mu'xiao 木木枭
'mu'nai'yi 木乃伊
'mu'ne'zhi'zheng 木讷之证
'mu'shou'gong 木守宫
'mu'tan 木炭
'mu'xia'li'shi 幕下力士
'mu'xia'li'shi'de'han 幕下力士的汗
'mu'yang'quan 墓扬犬
'mu'yang'quan'wu'yan'xiao'bian'mao 墓扬犬无檐小便帽
'mu'zai'gou 墓仔狗
'mu'zai'gou'de'la 墓仔狗的蜡
'mu'zai'gou'wu'yan'mao 墓仔狗无檐帽
'mu'zhi'tu'ci 木枝突刺
'mu'zi 木子
'mu'zi'guo 木子果
'na'chu'qiu 拿出球
'na'li 纳莉
'na'shi'cao 纳噬草
'na'shi'cao'de'zhi'tiao 纳噬草的枝条
'na'shi'hen'nu'li'de 那时很努力的
'na'tian'jing'shen'dou'sou'de 那天精神抖擞的
'na'tian'shen'qing'qi'shuang'de 那天神清气爽的
'nai'ke'luo'lu'nai'he'ti'qi 奈克洛露奈合体器
'nai'ke'luo'suo'er'he'ti'qi 奈克洛索尔合体器
'nai'ke'luo'zi'ma 奈克洛兹玛
'nai'ke'luo'zi'ma'de'dian'xin 奈克洛兹玛的点心
'nai'li'bao'ke'meng 耐力宝可梦
'nai'mei'zi 奈美子
'nai'nai'de'xian'pai 奶奶的咸派
'nai'nai'ke 奈奈可
'nai'nai'mei 奈奈美
'nai'niu'bao'ke'meng 奶牛宝可梦
'nai're 耐热
'nai'xiang'bo'he 奶香薄荷
'nai'xiang'hong'zuan 奶香红钻
'nai'xiang'mo'cha 奶香抹茶
'nai'xiang'ning'meng 奶香柠檬
'nai'xiang'xiang'cao 奶香香草
'nai'xiang'xue'yan 奶香雪盐
'nai'you'se 奶油色
'nai'you'se'lei'si 奶油色蕾丝
'nai'you'zhi'shi 奶油芝士
'nan'di'qu 南第区
'nan'fang'bao'ke'meng 南方宝可梦
'nan'gua'bao'ke'meng 南瓜宝可梦
'nan'gua'guai'ren 南瓜怪人
'nan'gua'jing 南瓜精
'nan'guo'bei'ke 南国贝壳
'nan'hai'bao'ke'meng 南海宝可梦
'nan'hai'zi 男孩子
'nan'mei 南美
'nan'pa'di'ya'hai 南帕底亚海
'nao'bao'ke'meng 脑宝可梦
'nao'dai'kong'kong'de 脑袋空空的
'nao'he'zhi'li 脑核之力
'nao'yang 挠痒
'nei'kou'chang'bo'bo'tou 内扣长波波头
'nei'lian 内敛
'nei'lian'bo'he 内敛薄荷
'nen'ye'bao'ke'meng 嫩叶宝可梦
'neng'jin'xing'ye'can'de'di'fang 能进行野餐的地方
'neng'li 能力
'neng'li'fang'shou 能力防守
'neng'liang'dian 能量点
'neng'liang'qiu 能量球
'neng'shi'ying'cao'yuan'qu 能适应草原区
'neng'shi'ying'dong'ku 能适应洞窟
'neng'shi'ying'hai'an'qu 能适应海岸区
'neng'shi'ying'ji'di'qu 能适应极地区
'neng'shi'ying'xia'gu'qu 能适应峡谷区
'ni'ba'she'ji 泥巴射击
'ni'ba'yu 泥巴鱼
'ni'ba'zha'dan 泥巴炸弹
'ni'cheng 昵称
'ni'duo'hou 尼多后
'ni'duo'lan 尼多兰
'ni'duo'lan'de'tang'guo 尼多兰的糖果
'ni'duo'lang 尼多朗
'ni'duo'lang'de'tang'guo 尼多朗的糖果
'ni'duo'li'nuo 尼多力诺
'ni'duo'na 尼多娜
'ni'duo'wang 尼多王
'ni'hong'bao'ke'meng 霓虹宝可梦
'ni'hong'yu 霓虹鱼
'ni'ke'luo 尼可洛
'ni'lin 逆鳞
'ni'long'shuang'jian'bao 尼龙双肩包
'ni'lv'zai 泥驴仔
'ni'lv'zai'de'ni'ba 泥驴仔的泥巴
'ni'mo 妮莫
'ni'mo'de'fang'jian 妮莫的房间
'ni'ni'qiu 泥泥鳅
'ni'ni'qiu'de'nian'ye 泥泥鳅的黏液
'ni'ou'bao'ke'meng 泥偶宝可梦
'ni'ou'ju'ren 泥偶巨人
'ni'ou'xiao'ren 泥偶小人
'ni'ou'xiao'ren'de'sui'pian 泥偶小人的碎片
'ni'sheng'pen'wu 匿声喷雾
'ni'tai 拟态
'ni'tai'bao'ke'meng 拟态宝可梦
'ni'tan'bao'ke'meng 泥炭宝可梦
'ni'tan'kuai 泥炭块
'ni'wan 泥丸
'nian'hua 黏滑
'nian'li 念力
'nian'li'bao'ke'meng 念力宝可梦
'nian'li'tu'ou 念力土偶
'nian'mei'er 黏美儿
'nian'mei'long 黏美龙
'nian'nian'bao 黏黏宝
'nian'nian'bao'de'nian'ye 黏黏宝的黏液
'nian'nian'wang 黏黏网
'nian'qian'de'yan'se 年前的颜色
'nian'wan 黏丸
'nian'yu'wang 鲶鱼王
'nian'zhe 黏着
'niang'guang'dao'guan 酿光道馆
'niang'guang'shi 酿光市
'niao'bao'ke'meng 鸟宝可梦
'niao'bu'bao'ke'meng 尿布宝可梦
'niao'zui'bao'ke'meng 鸟嘴宝可梦
'niao'zui'jia'nong'pao 鸟嘴加农炮
'nie'kai 聂凯
'nie'kai'tou'kui 聂凯头盔
'nie'sui 捏碎
'nin'xian'qing 您先请
'ning'jing'bao'ke'meng 宁静宝可梦
'ning'meng'bao'bing 柠檬刨冰
'ning'meng'bing'qi'lin 柠檬冰淇淋
'ning'meng'shui 柠檬水
'ning'shi'bao'ke'meng 凝视宝可梦
'ning'yin 宁音
'ning'zhi'yan'yu'sheng 柠汁腌鱼生
'niu'la 狃拉
'niu'la'de'zhua'zi 狃拉的爪子
'niu'you'guo 牛油果
'niu'you'guo'san'ming'zhi 牛油果三明治
'niu'zai'lan 牛仔蓝
'niu'zai'mao 牛仔帽
'nong'wu'zhi'zheng 浓雾之证
'nu'huo'chong'tian 怒火冲天
'nu'huo'zhong'shao 怒火中烧
'nu'li'jiang'zhang 努力奖章
'nu'niu 怒牛
'nu'ying'ge 怒鹦哥
'nu'ying'ge'de'yu'mao 怒鹦哥的羽毛
'nuan'nuan'zhu 暖暖猪
'nuo'li 诺丽
'nuo'man 糯鳗
'nuo'man'bao'ke'meng 糯鳗宝可梦
'nuo'mu 诺姆
'nuo'nuo'gu 糯糯菇
'nuo'ya 诺雅
'nv'er'de'cai'rou'dun'tang 女儿的菜肉炖汤
'nv'fu'wu'sheng 女服务生
'nv'hai'zi 女孩子
'nv'wang'de'wei'yan 女王的威严
'nv'wang'de'yang'zi 女王的样子
'nv'wang'zao'xing 女王造型
'ou'ge 讴歌
'ou'ji 欧基
'ou'jiao'ao 偶叫獒
'ou'jiao'ao'de'ya 偶叫獒的牙
'ou'sa'mu 欧萨姆
'ou'xiang'bao'ke'meng 偶像宝可梦
'ou'yu'zhi'zheng 偶遇之证
'pa'cha'hai'dan 啪嚓海胆
'pa'cha'hai'dan'de'zhen 啪嚓海胆的针
'pa'di'chi 爬地翅
'pa'di'ya'de'yang'zi 帕底亚的样子
'pa'di'ya'di'qu'tong'yi 帕底亚地区统一
'pa'di'ya'di'qu'tu'jian 帕底亚地区图鉴
'pa'di'ya'guan'jun 帕底亚冠军
'pa'di'ya'guan'jun'jiang'zhang 帕底亚冠军奖章
'pa'di'ya'hai'xian'fan 帕底亚海鲜饭
'pa'di'ya'ju'keng 帕底亚巨坑
'pa'di'ya'xie'zi'zhong'xin 帕底亚鞋子中心
'pa'dong'hou 啪咚猴
'pa'ji 爬击
'pa'ji'mo 怕寂寞
'pa'ji'mo'bo'he 怕寂寞薄荷
'pa'lu'qi'ya 帕路奇亚
'pa'ma'fan'bao'ke'meng 怕麻烦宝可梦
